ATTRIBUTES:

Attribute #1:C:\Metrics\ics\projects\6.2600J_S25\buonato_UP_NOT.ics
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:NOT  04/18/2025  17:05:02
DATE:04/18/2025
TIME:17:05:02

CONDITIONS:

ID:	VDD	
UNIT:	SMU4	
MODE: STEP	
START:	1	
STOP:	5	
PNTS:	3	
STEP:	2

ID:	I0P	
UNIT:	SMU1	
MODE: SWEEP	
START:	0	
STOP:	5	
PNTS:	21	
STEP:	0.25

ID:	VSS	
UNIT:	SMU2	
START:	0	
STOP:	1	
PNTS:	1	
	STEP:	0

ID:	OUT	
UNIT:	SMU3	
MODE: CONST	
VALUE:	0

DATA:  NOT  04/18/2025  17:05:02

VI0P	II0P	II0P2	II0P3	IVSS	IVSS2	IVSS3	VOUT	VOUT2	VOUT3	VVDD	VVDD2	VVDD3	IVDD	IVDD2	IVDD3
0.00000000E+000	-2.62000000E-011	5.85000000E-012	-3.04010000E-011	-1.24500000E-011	-1.21000000E-009	-4.76260000E-006	9.99970000E-001	3.00000000E+000	4.33980000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	1.85000000E-012	1.07850000E-009	4.78230000E-006
2.50000000E-001	-2.71990000E-011	-9.65010000E-012	2.90000000E-011	-9.40000000E-012	-9.59960000E-007	-5.83200000E-006	9.99970000E-001	2.87400000E+000	4.19090000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	1.59000000E-011	8.95140000E-007	5.83240000E-006
5.00000000E-001	3.23490000E-011	-2.75000000E-011	-2.77500000E-011	1.02000000E-011	-1.08050000E-006	-7.16650000E-006	9.99970000E-001	2.84800000E+000	4.00390000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	-1.50000000E-011	1.00760000E-006	7.20100000E-006
7.50000000E-001	-2.15500000E-011	2.35000000E-012	2.22000000E-011	-1.74000000E-011	-1.56850000E-006	-8.51370000E-006	9.99970000E-001	2.79200000E+000	3.82500000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	2.72500000E-011	1.54600000E-006	8.52110000E-006
1.00000000E+000	1.40000000E-011	2.00000000E-013	-6.60010000E-012	1.43500000E-011	-1.94800000E-006	-9.88790000E-006	9.99970000E-001	2.72900000E+000	3.62100000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	-1.11000000E-011	1.85850000E-006	9.96700000E-006
1.25000000E+000	3.00000000E-013	1.16500000E-011	-2.79000000E-011	-9.74990000E-012	-2.04190000E-006	-1.13850000E-005	9.99970000E-001	2.65800000E+000	3.41890000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	7.29990000E-012	2.61140000E-006	1.13800000E-005
1.50000000E+000	-1.42500000E-011	6.05010000E-012	-2.26500000E-011	1.70000000E-012	-7.16000000E-006	-1.24000000E-005	9.99970000E-001	2.09090000E+000	3.27490000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	-5.05000000E-012	6.93840000E-006	1.26800000E-005
1.75000000E+000	2.57000000E-011	2.79000000E-011	2.65500000E-011	-3.40000000E-012	-9.95590000E-006	-1.46200000E-005	9.99970000E-001	1.62200000E+000	3.05900000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	-3.05000000E-012	9.96560000E-006	1.41000000E-005
2.00000000E+000	-2.43500000E-011	-3.95000000E-012	-2.70000000E-011	-6.74990000E-012	-1.02950000E-005	-1.62250000E-005	9.99970000E-001	1.57100000E+000	2.74400000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	6.95000000E-012	1.02800000E-005	1.62750000E-005
2.25000000E+000	3.08000000E-011	-3.99990000E-012	2.07000000E-011	8.70010000E-012	-1.11700000E-005	-1.69300000E-005	9.99970000E-001	1.45000000E+000	2.62500000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	-1.79000000E-011	1.11650000E-005	1.70300000E-005
