ATTRIBUTES:

Attribute #1:C:\Metrics\ics\projects\6.2600J_S25\buonato_UP_NOT.ics
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:NOT  04/18/2025  17:06:11
DATE:04/18/2025
TIME:17:06:11

CONDITIONS:

ID:	VDD	
UNIT:	SMU4	
MODE: STEP	
START:	1	
STOP:	5	
PNTS:	3	
STEP:	2

ID:	I0P	
UNIT:	SMU1	
MODE: SWEEP	
START:	0	
STOP:	5	
PNTS:	21	
STEP:	0.25

ID:	VSS	
UNIT:	SMU2	
START:	0	
STOP:	1	
PNTS:	1	
	STEP:	0

ID:	OUT	
UNIT:	SMU3	
MODE: CONST	
VALUE:	0

DATA:  NOT  04/18/2025  17:06:11

VI0P	II0P	II0P2	II0P3	IVSS	IVSS2	IVSS3	VOUT	VOUT2	VOUT3	VVDD	VVDD2	VVDD3	IVDD	IVDD2	IVDD3
0.00000000E+000	1.62000000E-011	-2.78000000E-011	2.75000000E-011	-2.60000000E-006	-4.97790000E-006	-4.86500000E-006	6.38000000E-001	2.31200000E+000	4.32500000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	2.59750000E-006	5.02240000E-006	4.88250000E-006
2.50000000E-001	-1.58000000E-011	1.99500000E-011	-2.21500000E-011	-2.85800000E-006	-6.20280000E-006	-6.33790000E-006	6.03000000E-001	2.14390000E+000	4.11600000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	2.86240000E-006	6.16790000E-006	6.33840000E-006
5.00000000E-001	2.31500000E-011	-2.51500000E-011	2.94010000E-011	-3.15390000E-006	-7.22640000E-006	-8.04290000E-006	5.60000000E-001	1.99900000E+000	3.88100000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	3.17390000E-006	7.23450000E-006	8.03690000E-006
7.50000000E-001	-2.40500000E-011	2.76000000E-011	-2.76000000E-011	-3.31400000E-006	-8.36610000E-006	-1.00050000E-005	5.39000000E-001	1.84200000E+000	3.62100000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	3.32140000E-006	8.38190000E-006	9.91490000E-006
1.00000000E+000	3.16990000E-011	-2.13000000E-011	-1.35000000E-012	-3.49350000E-006	-9.39710000E-006	-1.21450000E-005	5.14010000E-001	1.70900000E+000	3.31800000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	3.50400000E-006	9.33190000E-006	1.22250000E-005
1.25000000E+000	-2.33500000E-011	5.80000000E-012	-4.75000000E-012	-3.68790000E-006	-1.02080000E-005	-1.42500000E-005	4.87000000E-001	1.58400000E+000	3.03100000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	3.70050000E-006	1.01870000E-005	1.41700000E-005
1.50000000E+000	2.15500000E-011	5.55000000E-012	1.25000000E-012	-3.84010000E-006	-1.07800000E-005	-1.61550000E-005	4.68990000E-001	1.50100000E+000	2.75890000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	3.82840000E-006	1.08050000E-005	1.60950000E-005
1.75000000E+000	4.50000000E-013	5.39990000E-012	2.34000000E-011	-4.00140000E-006	-1.14150000E-005	-1.77990000E-005	4.44000000E-001	1.41500000E+000	2.51890000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	3.99840000E-006	1.14250000E-005	1.79300000E-005
2.00000000E+000	-1.02500000E-011	-1.60500000E-011	-2.39000000E-011	-4.11690000E-006	-1.22250000E-005	-1.91500000E-005	4.29990000E-001	1.30200000E+000	2.34500000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	4.11990000E-006	1.22550000E-005	1.91500000E-005
2.25000000E+000	2.18000000E-011	2.86000000E-011	3.21500000E-011	-4.26060000E-006	-1.26400000E-005	-2.01850000E-005	4.07000000E-001	1.24400000E+000	2.20300000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	4.28290000E-006	1.26800000E-005	2.01190000E-005
2.50000000E+000	-2.37500000E-011	-2.44500000E-011	-2.26000000E-011	-4.38090000E-006	-1.29250000E-005	-2.10050000E-005	3.92990000E-001	1.20500000E+000	2.10000000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	4.38140000E-006	1.29250000E-005	2.09550000E-005
2.75000000E+000	3.18000000E-011	2.63000000E-011	1.42000000E-011	-4.53300000E-006	-1.33150000E-005	-2.16090000E-005	3.70000000E-001	1.15400000E+000	2.00500000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	4.53350000E-006	1.33000000E-005	2.16600000E-005
3.00000000E+000	-2.44000000E-011	-1.69000000E-011	2.80000000E-012	-4.59700000E-006	-1.34800000E-005	-2.24100000E-005	3.62000000E-001	1.13200000E+000	1.89100000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	4.61450000E-006	1.34550000E-005	2.24150000E-005
3.25000000E+000	2.41490000E-011	1.92000000E-011	-1.45500000E-011	-4.61540000E-006	-1.38200000E-005	-2.22890000E-005	3.56000000E-001	1.08300000E+000	1.89600000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	4.62980000E-006	1.37950000E-005	2.23550000E-005
