ATTRIBUTES:

Attribute #1:C:\Metrics\ics\projects\6.2600J_S25\buonato_UP_NOT.ics
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:NOT  04/18/2025  17:26:16
DATE:04/18/2025
TIME:17:26:16

CONDITIONS:

ID:	VDD	
UNIT:	SMU4	
MODE: STEP	
START:	1	
STOP:	5	
PNTS:	3	
STEP:	2

ID:	I0P	
UNIT:	SMU1	
MODE: SWEEP	
START:	0	
STOP:	5	
PNTS:	21	
STEP:	0.25

ID:	VSS	
UNIT:	SMU2	
START:	0	
STOP:	1	
PNTS:	1	
	STEP:	0

ID:	OUT	
UNIT:	SMU3	
MODE: CONST	
VALUE:	0

DATA:  NOT  04/18/2025  17:26:16

VI0P	II0P	II0P2	II0P3	IVSS	IVSS2	IVSS3	VOUT	VOUT2	VOUT3	VVDD	VVDD2	VVDD3	IVDD	IVDD2	IVDD3
0.00000000E+000	-6.05010000E-012	-3.29990000E-011	-1.27000000E-011	-2.67640000E-009	-1.47750000E-009	-1.10250000E-009	9.99970000E-001	3.00000000E+000	5.00000000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	2.73040000E-009	1.56300000E-009	1.09100000E-009
2.50000000E-001	-2.81000000E-011	-8.59980000E-012	-3.23000000E-011	-7.18680000E-009	-3.99200000E-009	-3.34890000E-009	9.98990000E-001	3.00000000E+000	5.00000000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	7.19930000E-009	3.95580000E-009	3.41740000E-009
5.00000000E-001	3.45500000E-011	-1.50000000E-013	3.53000000E-011	-1.58400000E-008	-9.67380000E-009	-9.11130000E-009	9.97990000E-001	2.99890000E+000	4.99900000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	1.67750000E-008	9.80020000E-009	8.83850000E-009
7.50000000E-001	1.13500000E-011	2.77000000E-011	-2.89500000E-011	-3.42810000E-008	-2.34450000E-008	-1.86700000E-008	9.95000000E-001	2.99690000E+000	4.99680000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	3.39040000E-008	2.12350000E-008	1.74700000E-008
1.00000000E+000	-1.31500000E-011	-1.48000000E-011	9.34980000E-012	-7.13660000E-008	-5.10640000E-008	-3.84010000E-008	9.89990000E-001	2.99290000E+000	4.99490000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	6.92820000E-008	5.30140000E-008	3.89350000E-008
1.25000000E+000	-3.12500000E-011	1.80000000E-011	6.65000000E-012	-1.24150000E-007	-1.01500000E-007	-8.32690000E-008	9.81990000E-001	2.98600000E+000	4.98900000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	1.26590000E-007	1.09400000E-007	8.50590000E-008
1.50000000E+000	2.81500000E-011	-2.83500000E-011	-2.81990000E-011	-2.32500000E-007	-2.08700000E-007	-1.56000000E-007	9.67990000E-001	2.97090000E+000	4.97800000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	2.29800000E-007	2.07790000E-007	1.62300000E-007
1.75000000E+000	-6.30010000E-012	1.59000000E-011	3.18000000E-011	-3.87100000E-007	-4.11340000E-007	-3.10390000E-007	9.46990000E-001	2.94200000E+000	4.95700000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	3.83240000E-007	4.18090000E-007	3.14640000E-007
2.00000000E+000	4.35010000E-012	4.29990000E-012	-2.75500000E-011	-6.52270000E-007	-7.62140000E-007	-5.68340000E-007	9.06980000E-001	2.89200000E+000	4.92190000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	6.63970000E-007	7.45000000E-007	5.66800000E-007
2.25000000E+000	1.93500000E-011	-3.53500000E-011	-6.19990000E-012	-9.26170000E-007	-1.21550000E-006	-9.27830000E-007	8.70000000E-001	2.82800000E+000	4.86990000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	9.05190000E-007	1.17700000E-006	9.71720000E-007
2.50000000E+000	3.65500000E-011	2.78500000E-011	-7.50010000E-013	-1.30750000E-006	-2.14900000E-006	-1.63800000E-006	8.17990000E-001	2.70090000E+000	4.77490000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	1.29600000E-006	2.14750000E-006	1.57000000E-006
2.75000000E+000	-3.27510000E-011	-1.75500000E-011	8.00000000E-013	-2.07500000E-006	-3.59490000E-006	-2.83950000E-006	7.12980000E-001	2.50100000E+000	4.59990000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	2.06300000E-006	3.58640000E-006	2.83490000E-006
3.00000000E+000	3.42000000E-011	1.81000000E-011	1.75000000E-011	-2.92840000E-006	-6.04990000E-006	-5.11440000E-006	5.91000000E-001	2.15990000E+000	4.28910000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	2.93300000E-006	6.01290000E-006	5.13950000E-006
3.25000000E+000	-3.04010000E-011	3.85000000E-012	-3.09990000E-011	-3.82350000E-006	-9.18940000E-006	-8.95050000E-006	4.66990000E-001	1.72400000E+000	3.76790000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	3.83360000E-006	9.21410000E-006	8.89510000E-006
3.50000000E+000	9.09980000E-012	-1.10500000E-011	-1.76990000E-011	-4.71690000E-006	-1.12900000E-005	-1.24200000E-005	3.45000000E-001	1.43300000E+000	3.28490000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	4.70950000E-006	1.11850000E-005	1.23400000E-005
3.75000000E+000	8.80000000E-012	-3.80010000E-012	-1.17500000E-011	-5.43100000E-006	-1.44800000E-005	-1.94600000E-005	2.46990000E-001	9.91000000E-001	2.29800000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	5.43450000E-006	1.44700000E-005	1.94850000E-005
4.00000000E+000	-1.64500000E-011	-1.63500000E-011	1.65000000E-011	-5.98310000E-006	-1.68350000E-005	-2.58400000E-005	1.70000000E-001	6.61990000E-001	1.41600000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	5.97700000E-006	1.68350000E-005	2.57950000E-005
4.25000000E+000	3.05500000E-011	2.37990000E-011	-3.05500000E-011	-6.37650000E-006	-1.84050000E-005	-2.96240000E-005	1.15000000E-001	4.44000000E-001	8.86990000E-001	1.00000000E+000	3.00000000E+000	5.00000000E+000	6.37540000E-006	1.84150000E-005	2.96150000E-005
4.50000000E+000	-3.03510000E-011	-2.36490000E-011	2.76000000E-011	-6.63940000E-006	-1.94450000E-005	-3.18200000E-005	7.79990000E-002	3.00990000E-001	5.83980000E-001	1.00000000E+000	3.00000000E+000	5.00000000E+000	6.63850000E-006	1.94390000E-005	3.17990000E-005
4.75000000E+000	3.62500000E-011	3.37510000E-011	-2.88990000E-011	-6.80890000E-006	-2.01190000E-005	-3.31760000E-005	5.49980000E-002	2.07000000E-001	3.94000000E-001	1.00000000E+000	3.00000000E+000	5.00000000E+000	6.80800000E-006	2.01100000E-005	3.31790000E-005
5.00000000E+000	-1.05000000E-011	-2.46000000E-011	3.42000000E-011	-6.92180000E-006	-2.05650000E-005	-3.40300000E-005	3.99990000E-002	1.45000000E-001	2.76990000E-001	1.00000000E+000	3.00000000E+000	5.00000000E+000	6.91950000E-006	2.05650000E-005	3.40250000E-005

TEST RESULTS:  NOT  04/18/2025  17:26:16


