ATTRIBUTES:

Attribute #1:C:\Metrics\ics\projects\6.2600J_S25\buonato_UP_NOT.ics
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:NOT  04/18/2025  17:27:16
DATE:04/18/2025
TIME:17:27:16

CONDITIONS:

ID:	VDD	
UNIT:	SMU4	
MODE: STEP	
START:	1	
STOP:	5	
PNTS:	3	
STEP:	2

ID:	I0P	
UNIT:	SMU1	
MODE: SWEEP	
START:	0	
STOP:	5	
PNTS:	21	
STEP:	0.25

ID:	VSS	
UNIT:	SMU2	
START:	0	
STOP:	1	
PNTS:	1	
	STEP:	0

ID:	OUT	
UNIT:	SMU3	
MODE: CONST	
VALUE:	0

DATA:  NOT  04/18/2025  17:27:16

VI0P	II0P	II0P2	II0P3	IVSS	IVSS2	IVSS3	VOUT	VOUT2	VOUT3	VVDD	VVDD2	VVDD3	IVDD	IVDD2	IVDD3
0.00000000E+000	3.12990000E-011	-2.75000000E-012	3.90000000E-012	-1.20150000E-009	-7.48290000E-010	-1.07900000E-009	9.99970000E-001	3.00000000E+000	5.00000000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	1.25150000E-009	8.57200000E-010	1.15550000E-009
2.50000000E-001	2.20000000E-011	3.01500000E-011	-2.69500000E-011	-3.47350000E-009	-2.60090000E-009	-3.06540000E-009	9.99970000E-001	3.00000000E+000	5.00000000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	3.45790000E-009	2.86090000E-009	3.09840000E-009
5.00000000E-001	-1.07000000E-011	5.94990000E-012	2.81990000E-011	-8.05720000E-009	-7.11880000E-009	-7.18680000E-009	9.98990000E-001	2.99890000E+000	5.00000000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	8.18590000E-009	7.13040000E-009	7.17930000E-009
7.50000000E-001	-2.99490000E-011	3.42500000E-011	-1.69500000E-011	-1.45150000E-008	-1.63800000E-008	-1.41500000E-008	9.97990000E-001	2.99790000E+000	4.99800000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	1.55050000E-008	1.61650000E-008	1.32700000E-008
1.00000000E+000	1.12000000E-011	-1.65000000E-012	3.39000000E-011	-3.28460000E-008	-3.86210000E-008	-2.85500000E-008	9.96000000E-001	2.99500000E+000	4.99580000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	3.16100000E-008	3.81100000E-008	2.68750000E-008
1.25000000E+000	1.15000000E-012	-1.52000000E-011	-1.86500000E-011	-6.64180000E-008	-7.74740000E-008	-6.25990000E-008	9.91000000E-001	2.99000000E+000	4.99100000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	6.63860000E-008	7.53100000E-008	6.29440000E-008
1.50000000E+000	-2.30000000E-011	2.22000000E-011	-3.16490000E-011	-1.22650000E-007	-1.37800000E-007	-1.19500000E-007	9.81990000E-001	2.98100000E+000	4.98290000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	1.24700000E-007	1.40600000E-007	1.23800000E-007
1.75000000E+000	2.41000000E-011	-1.90000000E-011	3.00510000E-011	-2.29800000E-007	-2.86440000E-007	-2.50600000E-007	9.67990000E-001	2.96090000E+000	4.96700000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	2.34690000E-007	2.85990000E-007	2.46840000E-007
2.00000000E+000	-3.20510000E-011	5.15010000E-012	-3.76500000E-011	-4.18890000E-007	-5.29250000E-007	-4.81550000E-007	9.41990000E-001	2.92800000E+000	4.93290000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	4.14440000E-007	5.27450000E-007	4.97730000E-007
2.25000000E+000	3.39000000E-011	1.17000000E-011	2.28500000E-011	-7.20090000E-007	-9.80510000E-007	-8.58390000E-007	9.01000000E-001	2.86500000E+000	4.88090000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	7.12200000E-007	9.77190000E-007	8.83040000E-007
2.50000000E+000	2.29500000E-011	-1.82000000E-011	-2.85000000E-011	-9.77600000E-007	-1.50700000E-006	-1.36850000E-006	8.63980000E-001	2.78990000E+000	4.80790000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	9.85340000E-007	1.58550000E-006	1.32250000E-006
2.75000000E+000	2.75000000E-012	2.78000000E-011	2.65000000E-011	-1.44300000E-006	-2.72140000E-006	-2.31290000E-006	7.99990000E-001	2.62190000E+000	4.67900000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	1.41500000E-006	2.71450000E-006	2.31200000E-006
