ATTRIBUTES:

Attribute #1:C:\Metrics\ics\projects\6.2600J_S25\buonato_UP_NOT.ics
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:NOT  04/18/2025  17:21:01
DATE:04/18/2025
TIME:17:21:01

CONDITIONS:

ID:	VDD	
UNIT:	SMU4	
MODE: STEP	
START:	1	
STOP:	5	
PNTS:	3	
STEP:	2

ID:	I0P	
UNIT:	SMU1	
MODE: SWEEP	
START:	0	
STOP:	5	
PNTS:	21	
STEP:	0.25

ID:	VSS	
UNIT:	SMU2	
START:	0	
STOP:	1	
PNTS:	1	
	STEP:	0

ID:	OUT	
UNIT:	SMU3	
MODE: CONST	
VALUE:	0

DATA:  NOT  04/18/2025  17:21:01

VI0P	II0P	II0P2	II0P3	IVSS	IVSS2	IVSS3	VOUT	VOUT2	VOUT3	VVDD	VVDD2	VVDD3	IVDD	IVDD2	IVDD3
0.00000000E+000	-8.34000000E-011	2.55000000E-012	2.54990000E-011	-3.47490000E-011	2.09000000E-011	3.96000000E-011	9.98990000E-001	2.99890000E+000	4.99900000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	-2.07900000E-010	-1.01500000E-011	4.93510000E-011
2.50000000E-001	-9.10490000E-011	2.45000000E-011	5.98990000E-011	-5.60000000E-011	-2.88000000E-011	-1.49000000E-011	9.98990000E-001	2.99890000E+000	5.00000000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	1.52000000E-010	-4.62490000E-011	-9.98490000E-011
5.00000000E-001	7.36510000E-011	-4.87500000E-011	-7.88990000E-011	6.56010000E-011	1.49500000E-011	-1.34000000E-011	9.98990000E-001	2.99890000E+000	4.99900000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	-7.26990000E-011	1.10900000E-010	1.88500000E-010
7.50000000E-001	2.09000000E-011	7.67990000E-011	9.01500000E-011	-4.71000000E-011	1.09000000E-011	2.11500000E-011	9.98990000E-001	2.99890000E+000	5.00000000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	-7.77510000E-011	-1.74950000E-010	-1.53550000E-010
1.00000000E+000	-3.80500000E-011	-9.36500000E-011	-6.21510000E-011	3.45000000E-011	-3.40000000E-011	-5.14510000E-011	9.97990000E-001	2.99890000E+000	4.99900000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	1.49900000E-010	1.72300000E-010	1.17150000E-010
1.25000000E+000	7.34490000E-011	7.73000000E-011	6.70000000E-012	2.30000000E-012	3.23000000E-011	2.24000000E-011	9.98990000E-001	2.99890000E+000	4.99900000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	-2.17650000E-010	-1.55200000E-010	2.38500000E-011
1.50000000E+000	-9.24990000E-011	-3.95510000E-011	2.90500000E-011	-1.95500000E-011	-6.51990000E-011	-5.58510000E-011	9.98990000E-001	2.99890000E+000	5.00000000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	2.34090000E-010	6.26490000E-011	-4.11000000E-011
1.75000000E+000	7.36510000E-011	-7.29990000E-012	-6.16000000E-011	4.53500000E-011	-3.55010000E-012	-4.81500000E-011	9.98990000E-001	2.99890000E+000	4.99900000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	-2.42810000E-010	6.78000000E-011	1.98100000E-010
2.00000000E+000	-3.81510000E-011	6.19490000E-011	8.70490000E-011	-5.82010000E-011	-7.51010000E-011	-4.97010000E-011	9.98990000E-001	2.99890000E+000	5.00000000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	6.19490000E-011	-6.12990000E-011	-1.26650000E-010
2.25000000E+000	5.20000000E-012	-6.89510000E-011	-8.72510000E-011	4.36010000E-011	-1.44850000E-010	-1.21850000E-010	9.98990000E-001	2.99890000E+000	4.99900000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	8.14990000E-012	3.11840000E-010	2.58200000E-010
