ATTRIBUTES:

Attribute #1:C:\Metrics\ics\projects\6.2600J_S25\buonato_UP_NOT.ics
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:NOT  04/18/2025  17:02:28
DATE:04/18/2025
TIME:17:02:28

CONDITIONS:

ID:	VDD	
UNIT:	SMU4	
MODE: STEP	
START:	1	
STOP:	5	
PNTS:	3	
STEP:	2

ID:	I0P	
UNIT:	SMU1	
MODE: SWEEP	
START:	0	
STOP:	5	
PNTS:	21	
STEP:	0.25

ID:	VSS	
UNIT:	SMU2	
START:	0	
STOP:	1	
PNTS:	1	
	STEP:	0

ID:	OUT	
UNIT:	SMU3	
MODE: CONST	
VALUE:	0

DATA:  NOT  04/18/2025  17:02:28

VI0P	II0P	II0P2	II0P3	IVSS	IVSS2	IVSS3	VOUT	VOUT2	VOUT3	VVDD	VVDD2	VVDD3	IVDD	IVDD2	IVDD3
0.00000000E+000	-1.10000000E-012	2.92000000E-011	-6.79990000E-012	-1.63850000E-008	-1.08450000E-008	-9.92480000E-009	9.96980000E-001	2.99790000E+000	4.99900000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	1.61900000E-008	1.14550000E-008	8.80980000E-009
2.50000000E-001	3.02500000E-011	3.50000000E-012	-3.09990000E-011	-4.35990000E-008	-3.11360000E-008	-2.22650000E-008	9.93990000E-001	2.99500000E+000	4.99680000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	4.30950000E-008	3.23540000E-008	2.37250000E-008
5.00000000E-001	-2.30500000E-011	-1.35500000E-011	2.88990000E-011	-1.04140000E-007	-7.99040000E-008	-6.14890000E-008	9.81990000E-001	2.98790000E+000	4.99100000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	1.02550000E-007	8.23890000E-008	6.54360000E-008
7.50000000E-001	2.72500000E-011	2.52500000E-011	1.51000000E-011	-1.71250000E-007	-1.74240000E-007	-1.27390000E-007	9.75980000E-001	2.97500000E+000	4.98190000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	1.62700000E-007	1.73650000E-007	1.36740000E-007
1.00000000E+000	-2.52500000E-011	-2.27000000E-011	-1.71000000E-011	-3.39350000E-007	-3.66940000E-007	-3.05050000E-007	9.52000000E-001	2.94900000E+000	4.95800000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	3.39950000E-007	3.61290000E-007	2.98240000E-007
1.25000000E+000	2.46000000E-011	2.92500000E-011	3.15000000E-012	-6.56030000E-007	-7.12140000E-007	-6.05650000E-007	9.09000000E-001	2.90100000E+000	4.91700000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	6.38890000E-007	7.12980000E-007	5.88390000E-007
1.50000000E+000	7.99980000E-012	2.79500000E-011	8.45010000E-012	-1.05450000E-006	-1.29700000E-006	-9.28230000E-007	8.50980000E-001	2.81700000E+000	4.86990000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	1.06000000E-006	1.28100000E-006	9.61420000E-007
1.75000000E+000	-8.24980000E-012	-2.84000000E-011	2.39000000E-011	-1.69400000E-006	-2.27540000E-006	-1.43650000E-006	7.63980000E-001	2.68700000E+000	4.79790000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	1.67500000E-006	2.25150000E-006	1.43100000E-006
2.00000000E+000	2.47000000E-011	2.27990000E-011	-2.33000000E-011	-2.41200000E-006	-3.80900000E-006	-2.65750000E-006	6.64980000E-001	2.46190000E+000	4.62890000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	2.41100000E-006	3.81890000E-006	2.68000000E-006
2.25000000E+000	-2.64500000E-011	5.99990000E-013	1.23000000E-011	-3.21340000E-006	-5.99400000E-006	-4.56140000E-006	5.52980000E-001	2.16200000E+000	4.35790000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	3.19290000E-006	5.99490000E-006	4.56840000E-006
2.50000000E+000	3.43990000E-011	-1.28000000E-011	4.70000000E-012	-3.92600000E-006	-8.55510000E-006	-7.58400000E-006	4.50990000E-001	1.80100000E+000	3.94590000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	3.92900000E-006	8.54300000E-006	7.59400000E-006
2.75000000E+000	-2.00000000E-011	2.63500000E-011	2.45000000E-011	-4.58610000E-006	-1.02510000E-005	-1.00680000E-005	3.60000000E-001	1.57000000E+000	3.59090000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	4.58750000E-006	1.01560000E-005	9.87250000E-006
