ATTRIBUTES:

Attribute #1:C:\Metrics\ics\projects\6.2600J_S25\buonato_UP_NOT.ics
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:NOT  04/18/2025  17:11:42
DATE:04/18/2025
TIME:17:11:42

CONDITIONS:

ID:	VDD	
UNIT:	SMU4	
MODE: STEP	
START:	1	
STOP:	5	
PNTS:	3	
STEP:	2

ID:	I0P	
UNIT:	SMU1	
MODE: SWEEP	
START:	0	
STOP:	5	
PNTS:	21	
STEP:	0.25

ID:	VSS	
UNIT:	SMU2	
START:	0	
STOP:	1	
PNTS:	1	
	STEP:	0

ID:	OUT	
UNIT:	SMU3	
MODE: CONST	
VALUE:	0

DATA:  NOT  04/18/2025  17:11:42

VI0P	II0P	II0P2	II0P3	IVSS	IVSS2	IVSS3	VOUT	VOUT2	VOUT3	VVDD	VVDD2	VVDD3	IVDD	IVDD2	IVDD3
0.00000000E+000	-1.27000000E-011	-3.10000000E-012	-2.99990000E-011	-1.32550000E-009	-8.47960000E-010	-1.15650000E-009	9.98990000E-001	2.99890000E+000	4.99900000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	1.41100000E-009	1.00900000E-009	1.16150000E-009
2.50000000E-001	-2.31000000E-011	-1.32000000E-011	-1.32500000E-011	-6.78390000E-009	-4.44200000E-009	-4.21300000E-009	9.98990000E-001	2.99790000E+000	4.99900000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	6.72590000E-009	4.54340000E-009	4.31850000E-009
5.00000000E-001	2.23500000E-011	-2.90000000E-011	2.17500000E-011	-1.88400000E-008	-1.87250000E-008	-1.50300000E-008	9.96980000E-001	2.99600000E+000	4.99680000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	1.94650000E-008	1.79900000E-008	1.45900000E-008
7.50000000E-001	1.82500000E-011	-7.99980000E-012	-1.54500000E-011	-5.99540000E-008	-4.80250000E-008	-5.12590000E-008	9.91000000E-001	2.99190000E+000	4.99100000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	6.16310000E-008	4.76360000E-008	4.91450000E-008
1.00000000E+000	-2.10990000E-011	2.88000000E-011	-2.54000000E-011	-1.26950000E-007	-1.15400000E-007	-9.71050000E-008	9.81990000E-001	2.98290000E+000	4.98580000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	1.18450000E-007	1.15500000E-007	9.59990000E-008
1.25000000E+000	2.64500000E-011	-2.88000000E-011	-2.46490000E-011	-2.55590000E-007	-2.48750000E-007	-1.84340000E-007	9.63990000E-001	2.96400000E+000	4.97390000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	2.48850000E-007	2.50950000E-007	1.98700000E-007
1.50000000E+000	-2.55500000E-011	2.92990000E-011	3.46500000E-011	-4.51590000E-007	-4.83240000E-007	-3.95190000E-007	9.35970000E-001	2.93090000E+000	4.94290000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	4.54590000E-007	4.99100000E-007	4.01650000E-007
1.75000000E+000	2.59500000E-011	-1.21500000E-011	-2.03500000E-011	-7.89670000E-007	-9.00090000E-007	-7.81090000E-007	8.90990000E-001	2.86900000E+000	4.88790000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	7.82540000E-007	9.26140000E-007	7.82920000E-007
2.00000000E+000	1.56500000E-011	1.54000000E-011	3.14500000E-011	-1.02630000E-006	-1.36000000E-006	-1.18900000E-006	8.54980000E-001	2.80400000E+000	4.83300000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	9.98610000E-007	1.35700000E-006	1.20950000E-006
2.25000000E+000	-2.73500000E-011	-1.04500000E-011	-2.92500000E-011	-1.40900000E-006	-2.55190000E-006	-2.16100000E-006	8.02000000E-001	2.64290000E+000	4.69380000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	1.40150000E-006	2.50550000E-006	2.17350000E-006
