ATTRIBUTES:

Attribute #1:C:\Metrics\ics\projects\6.2600J_S25\res.ics
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:RES  04/30/2025  15:14:12
DATE:04/30/2025
TIME:15:14:12

CONDITIONS:

ID:	A	
UNIT:	SMU1	
MODE: CONST	
VALUE:	0

ID:	K	
UNIT:	SMU2	
MODE: SWEEP	
START:	-0.01	
STOP:	0.01	
PNTS:	11	
STEP:	0.002

DATA:  RES  04/30/2025  15:14:12

IA	VK	IK	ACCSTRESS
1.58050000E-005	-1.00000000E-002	-1.55650000E-005	0.00000000E+000
1.25800000E-005	-8.00000000E-003	-1.25500000E-005	*
9.22570000E-006	-6.00000000E-003	-9.29460000E-006	*
6.03540000E-006	-4.00000000E-003	-6.10740000E-006	*
2.78740000E-006	-2.00000000E-003	-2.90250000E-006	*
-2.02900000E-007	0.00000000E+000	2.07950000E-007	*
-8.61440000E-007	2.00000000E-003	1.04990000E-006	*
-6.57000000E-006	4.00000000E-003	6.70130000E-006	*
-9.84920000E-006	6.00000000E-003	9.83990000E-006	*
-1.31200000E-005	8.00000000E-003	1.31400000E-005	*
-1.61750000E-005	1.00000000E-002	1.62300000E-005	*

TEST RESULTS:  RES  04/30/2025  15:14:12


SETUP:RES2  04/30/2025  15:15:29
DATE:04/30/2025
TIME:15:15:29

CONDITIONS:

ID:	A	
UNIT:	SMU1	
MODE: CONST	
VALUE:	0

ID:	K	
UNIT:	SMU2	
MODE: SWEEP	
START:	-0.1	
STOP:	0.1	
PNTS:	21	
STEP:	0.01

DATA:  RES2  04/30/2025  15:15:29

IA	VK	IK	
1.59250000E-004	-1.00000000E-001	-1.59250000E-004	
1.43450000E-004	-9.00000000E-002	-1.43300000E-004	
1.27400000E-004	-8.00000000E-002	-1.27400000E-004	
1.11400000E-004	-7.00000000E-002	-1.11450000E-004	
9.56060000E-005	-6.00000000E-002	-9.53900000E-005	
7.95090000E-005	-5.00000000E-002	-7.95570000E-005	
6.35500000E-005	-4.00000000E-002	-6.36350000E-005	
4.74250000E-005	-3.00000000E-002	-4.75590000E-005	
3.15290000E-005	-2.00000000E-002	-3.15400000E-005	
1.55250000E-005	-1.00000000E-002	-1.55300000E-005	
-2.74040000E-007	0.00000000E+000	2.38240000E-007	
-1.61650000E-005	1.00000000E-002	1.64250000E-005	
-3.21400000E-005	2.00000000E-002	3.22700000E-005	
-4.81700000E-005	3.00000000E-002	4.80690000E-005	
-6.42430000E-005	4.00000000E-002	6.40670000E-005	
-8.02280000E-005	5.00000000E-002	8.01980000E-005	
-9.60530000E-005	6.00000000E-002	9.60790000E-005	
-1.12000000E-004	7.00000000E-002	1.12000000E-004	
-1.28150000E-004	8.00000000E-002	1.28100000E-004	
-1.44000000E-004	9.00000000E-002	1.44100000E-004	
-1.59900000E-004	1.00000000E-001	1.59900000E-004	

TEST RESULTS:  RES2  04/30/2025  15:15:29


