ATTRIBUTES:

Attribute #1:C:\Metrics\ics\projects\6.2600J_S25\buonato_UP_NOT.ics
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:NOT  04/30/2025  15:40:45
DATE:04/30/2025
TIME:15:40:45

CONDITIONS:

ID:	VDD	
UNIT:	SMU4	
MODE: STEP	
START:	1	
STOP:	5	
PNTS:	4	
STEP:	1.33333

ID:	I0P	
UNIT:	SMU1	
MODE: SWEEP	
START:	0	
STOP:	3	
PNTS:	36	
STEP:	0.0857143

ID:	VSS	
UNIT:	SMU2	
START:	0	
STOP:	1	
PNTS:	1	
	STEP:	0

ID:	OUT	
UNIT:	SMU3	
MODE: CONST	
VALUE:	0

DATA:  NOT  04/30/2025  15:40:45

VI0P	II0P	II0P2	II0P3	II0P4	IVSS	IVSS2	IVSS3	IVSS4	VOUT	VOUT2	VOUT3	VOUT4	VVDD	VVDD2	VVDD3	VVDD4	IVDD	IVDD2	IVDD3	IVDD4
0.00000000E+000	-3.78510000E-011	3.70990000E-011	2.87000000E-011	-3.84000000E-011	-2.94500000E-011	1.74000000E-011	1.61500000E-011	-1.92000000E-011	9.99970000E-001	2.33300000E+000	3.66590000E+000	5.00000000E+000	1.00000000E+000	2.33333333E+000	3.66666667E+000	5.00000000E+000	-5.98990000E-011	6.99990000E-012	4.91000000E-011	-2.29500000E-011
8.57142857E-002	2.37000000E-011	-3.00000000E-013	-2.32000000E-011	1.85000000E-011	-2.27990000E-011	1.90500000E-011	-1.30000000E-012	-1.56500000E-011	1.00100000E+000	2.33300000E+000	3.66590000E+000	5.00000000E+000	1.00000000E+000	2.33333333E+000	3.66666667E+000	5.00000000E+000	1.61000000E-011	-2.47000000E-011	2.61500000E-011	1.06500000E-011
1.71428571E-001	-1.28500000E-011	2.96000000E-011	-8.49980000E-013	-8.05000000E-012	-3.91490000E-011	1.62500000E-011	1.81500000E-011	-2.07490000E-011	9.99970000E-001	2.33300000E+000	3.66590000E+000	5.00000000E+000	1.00000000E+000	2.33333333E+000	3.66666667E+000	5.00000000E+000	6.15510000E-011	-5.40000000E-011	-7.99980000E-012	4.30500000E-011
2.57142857E-001	-3.89000000E-011	4.10500000E-011	3.15000000E-011	-3.22000000E-011	-2.88990000E-011	6.55010000E-012	1.13500000E-011	-2.17500000E-011	9.99970000E-001	2.33300000E+000	3.66590000E+000	5.00000000E+000	1.00000000E+000	2.33333333E+000	3.66666667E+000	5.00000000E+000	1.28500000E-010	-5.93520000E-011	-3.29500000E-011	4.60010000E-011
3.42857143E-001	-3.07510000E-011	2.77000000E-011	3.21010000E-011	-2.88990000E-011	-1.93990000E-011	-2.54500000E-011	-5.15010000E-012	-3.00000000E-013	9.99970000E-001	2.33300000E+000	3.66590000E+000	5.00000000E+000	1.00000000E+000	2.33333333E+000	3.66666667E+000	5.00000000E+000	7.85010000E-011	-1.28500000E-011	-3.50000000E-011	4.34500000E-011
4.28571429E-001	-1.10000000E-011	-1.10500000E-011	2.76500000E-011	3.65000000E-012	-2.37500000E-011	-4.33500000E-011	-2.29500000E-011	4.90010000E-012	9.99970000E-001	2.33300000E+000	3.66590000E+000	5.00000000E+000	1.00000000E+000	2.33333333E+000	3.66666667E+000	5.00000000E+000	4.70500000E-011	5.89500000E-011	7.35010000E-012	1.67500000E-011
5.14285714E-001	1.87500000E-011	-3.86500000E-011	3.40000000E-012	1.83500000E-011	-3.73000000E-011	-3.93500000E-011	-4.34500000E-011	-3.65000000E-012	9.99970000E-001	2.33300000E+000	3.66590000E+000	5.00000000E+000	1.00000000E+000	2.33333333E+000	3.66666667E+000	5.00000000E+000	1.78000000E-011	8.43490000E-011	4.63010000E-011	8.24980000E-012
6.00000000E-001	3.75510000E-011	-3.13490000E-011	-2.59500000E-011	3.53990000E-011	-7.69480000E-011	-2.94500000E-011	-5.28010000E-011	-2.56500000E-011	9.99970000E-001	2.33300000E+000	3.66590000E+000	5.00000000E+000	1.00000000E+000	2.33333333E+000	3.66666667E+000	5.00000000E+000	2.85000000E-011	8.38020000E-011	7.27490000E-011	-1.63000000E-011
6.85714286E-001	3.18000000E-011	6.35000000E-012	-3.32500000E-011	2.84500000E-011	-1.38400000E-010	-3.64490000E-011	-5.09000000E-011	-5.16500000E-011	9.99970000E-001	2.33300000E+000	3.66590000E+000	5.00000000E+000	1.00000000E+000	2.33333333E+000	3.66666667E+000	5.00000000E+000	8.76490000E-011	4.32510000E-011	7.93000000E-011	3.67490000E-011
7.71428571E-001	1.62000000E-011	3.77000000E-011	-1.70000000E-011	9.40000000E-012	-2.11400000E-010	-7.46500000E-011	-6.18990000E-011	-8.39010000E-011	9.99970000E-001	2.33300000E+000	3.66590000E+000	5.00000000E+000	1.00000000E+000	2.33333333E+000	3.66666667E+000	5.00000000E+000	2.03650000E-010	3.48500000E-011	8.09490000E-011	8.88500000E-011
