ATTRIBUTES:

Attribute #1:C:\Metrics\ics\projects\6.2600J_S25\buonato_UP_NOT.ics
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:NOT  04/18/2025  17:22:32
DATE:04/18/2025
TIME:17:22:32

CONDITIONS:

ID:	VDD	
UNIT:	SMU4	
MODE: STEP	
START:	1	
STOP:	5	
PNTS:	3	
STEP:	2

ID:	I0P	
UNIT:	SMU1	
MODE: SWEEP	
START:	0	
STOP:	5	
PNTS:	21	
STEP:	0.25

ID:	VSS	
UNIT:	SMU2	
START:	0	
STOP:	1	
PNTS:	1	
	STEP:	0

ID:	OUT	
UNIT:	SMU3	
MODE: CONST	
VALUE:	0

DATA:  NOT  04/18/2025  17:22:32

VI0P	II0P	II0P2	II0P3	IVSS	IVSS2	IVSS3	VOUT	VOUT2	VOUT3	VVDD	VVDD2	VVDD3	IVDD	IVDD2	IVDD3
0.00000000E+000	2.30000000E-011	-3.12990000E-011	-5.60000000E-012	6.55010000E-012	-5.50000000E-012	-3.74990000E-012	1.00100000E+000	3.00000000E+000	5.00100000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	1.59500000E-011	-9.80010000E-012	2.34500000E-011
2.50000000E-001	3.02990000E-011	-2.62000000E-011	-1.55000000E-012	1.34000000E-011	-1.72500000E-011	9.15000000E-012	9.99970000E-001	3.00000000E+000	5.00000000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	-8.45010000E-012	1.27500000E-011	-1.05000000E-012
5.00000000E-001	-2.36000000E-011	1.31500000E-011	1.86000000E-011	-1.37000000E-011	1.17000000E-011	-6.35000000E-012	9.99970000E-001	3.00000000E+000	5.00000000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	1.24000000E-011	1.65000000E-012	7.70000000E-012
7.50000000E-001	2.35500000E-011	1.25000000E-012	-2.33500000E-011	1.31000000E-011	-9.20020000E-012	-2.48500000E-011	9.99970000E-001	3.00000000E+000	5.00000000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	-7.95010000E-012	6.10000000E-012	3.01000000E-011
1.00000000E+000	-2.05000000E-012	-1.13500000E-011	2.92000000E-011	-9.55010000E-012	4.10010000E-012	-6.79990000E-012	9.98990000E-001	3.00000000E+000	5.00000000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	1.39000000E-011	8.65000000E-012	1.93500000E-011
1.25000000E+000	-4.29990000E-012	2.52500000E-011	-2.92500000E-011	7.64990000E-012	-1.85000000E-012	-4.33500000E-011	9.99970000E-001	3.00100000E+000	5.00100000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	-3.19990000E-012	1.52000000E-011	2.53500000E-011
1.50000000E+000	2.05500000E-011	-2.18500000E-011	2.48000000E-011	-5.64990000E-012	-1.85000000E-011	-2.74500000E-011	9.99970000E-001	3.00000000E+000	5.00000000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	-9.00000000E-013	1.81500000E-011	5.00510000E-011
1.75000000E+000	-2.14500000E-011	3.02500000E-011	-1.80000000E-012	-2.20000000E-012	-6.19990000E-012	-9.65980000E-011	9.99970000E-001	3.00000000E+000	5.00000000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	1.05000000E-011	-5.99990000E-013	9.86480000E-011
2.00000000E+000	3.20510000E-011	-2.32500000E-011	-1.22000000E-011	6.60010000E-012	-3.36500000E-011	-1.43250000E-010	9.99970000E-001	3.00000000E+000	5.00000000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	-4.65010000E-012	2.17500000E-011	1.27400000E-010
2.25000000E+000	-2.57000000E-011	2.30000000E-011	3.10510000E-011	-6.95000000E-012	-9.15000000E-012	-2.52750000E-010	9.99970000E-001	3.00000000E+000	5.00000000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	1.70000000E-011	1.48500000E-011	2.63950000E-010
