ATTRIBUTES:

Attribute #1:C:\Metrics\ics\projects\6.2600J_S25\buonato_UP_NOT.ics
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:NOT  04/18/2025  17:30:29
DATE:04/18/2025
TIME:17:30:29

CONDITIONS:

ID:	VDD	
UNIT:	SMU4	
MODE: STEP	
START:	1	
STOP:	5	
PNTS:	3	
STEP:	2

ID:	I0P	
UNIT:	SMU1	
MODE: SWEEP	
START:	0	
STOP:	5	
PNTS:	21	
STEP:	0.25

ID:	VSS	
UNIT:	SMU2	
START:	0	
STOP:	1	
PNTS:	1	
	STEP:	0

ID:	OUT	
UNIT:	SMU3	
MODE: CONST	
VALUE:	0

DATA:  NOT  04/18/2025  17:30:29

VI0P	II0P	II0P2	II0P3	IVSS	IVSS2	IVSS3	VOUT	VOUT2	VOUT3	VVDD	VVDD2	VVDD3	IVDD	IVDD2	IVDD3
0.00000000E+000	2.68490000E-011	-2.87500000E-011	-2.79000000E-011	-4.68960000E-010	-2.58350000E-010	-1.97050000E-010	9.99970000E-001	3.00000000E+000	5.00000000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	5.10140000E-010	2.67700000E-010	2.20000000E-010
2.50000000E-001	2.75000000E-011	-2.27000000E-011	-2.39500000E-011	-1.57690000E-009	-8.65500000E-010	-8.22040000E-010	9.99970000E-001	3.00000000E+000	5.00000000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	1.60200000E-009	8.95000000E-010	8.32100000E-010
5.00000000E-001	1.20500000E-011	1.82000000E-011	-8.49980000E-013	-4.58500000E-009	-2.86840000E-009	-2.35800000E-009	9.98990000E-001	3.00000000E+000	5.00000000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	4.58640000E-009	3.13590000E-009	2.35150000E-009
7.50000000E-001	2.30000000E-011	2.97500000E-011	2.55500000E-011	-1.02350000E-008	-7.91530000E-009	-7.10880000E-009	9.98990000E-001	2.99890000E+000	4.99900000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	1.00800000E-008	7.90120000E-009	7.18340000E-009
1.00000000E+000	-2.22000000E-011	-2.95500000E-011	-2.57500000E-011	-2.13150000E-008	-1.72700000E-008	-1.67950000E-008	9.96980000E-001	2.99790000E+000	4.99800000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	2.12500000E-008	1.78500000E-008	1.69050000E-008
1.25000000E+000	2.53000000E-011	-6.74990000E-012	1.56500000E-011	-4.07000000E-008	-3.82950000E-008	-3.43610000E-008	9.95000000E-001	2.99500000E+000	4.99580000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	4.04200000E-008	3.86840000E-008	3.50250000E-008
1.50000000E+000	-4.70000000E-012	2.39500000E-011	2.40000000E-012	-7.08750000E-008	-7.17410000E-008	-6.37480000E-008	9.91000000E-001	2.99000000E+000	4.99190000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	6.73350000E-008	7.27990000E-008	6.28350000E-008
1.75000000E+000	-6.15000000E-012	-6.99990000E-012	-2.85490000E-011	-9.71190000E-008	-1.02350000E-007	-1.04200000E-007	9.87000000E-001	2.98500000E+000	4.98580000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	9.59010000E-008	1.11400000E-007	1.01600000E-007
2.00000000E+000	-2.64500000E-011	4.40000000E-012	3.02990000E-011	-1.27250000E-007	-1.72600000E-007	-1.56350000E-007	9.81990000E-001	2.97600000E+000	4.97900000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	1.30490000E-007	1.73700000E-007	1.64650000E-007
2.25000000E+000	2.77500000E-011	-1.43500000E-011	-2.38500000E-011	-1.68900000E-007	-2.31700000E-007	-2.24650000E-007	9.75980000E-001	2.96800000E+000	4.96900000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	1.80350000E-007	2.29950000E-007	2.23790000E-007
2.50000000E+000	-1.67000000E-011	2.43500000E-011	2.04000000E-011	-2.09900000E-007	-3.08090000E-007	-2.86190000E-007	9.70000000E-001	2.95690000E+000	4.96000000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	2.20050000E-007	3.08650000E-007	2.89250000E-007
2.75000000E+000	9.15000000E-012	-2.67500000E-011	1.07000000E-011	-2.67840000E-007	-4.07790000E-007	-4.84290000E-007	9.62980000E-001	2.94300000E+000	4.93480000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	2.64950000E-007	4.08400000E-007	4.73690000E-007
3.00000000E+000	1.18500000E-011	2.73000000E-011	-1.90500000E-011	-3.79990000E-007	-5.31730000E-007	-5.41040000E-007	9.46990000E-001	2.92490000E+000	4.92500000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	3.81450000E-007	5.35680000E-007	5.41450000E-007
