ATTRIBUTES:

Attribute #1:C:\Metrics\ics\projects\6.2600J_S25\buonato_UP_NOT.ics
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:NOT  04/18/2025  17:31:31
DATE:04/18/2025
TIME:17:31:31

CONDITIONS:

ID:	VDD	
UNIT:	SMU4	
MODE: STEP	
START:	1	
STOP:	5	
PNTS:	3	
STEP:	2

ID:	I0P	
UNIT:	SMU1	
MODE: SWEEP	
START:	0	
STOP:	5	
PNTS:	21	
STEP:	0.25

ID:	VSS	
UNIT:	SMU2	
START:	0	
STOP:	1	
PNTS:	1	
	STEP:	0

ID:	OUT	
UNIT:	SMU3	
MODE: CONST	
VALUE:	0

DATA:  NOT  04/18/2025  17:31:31

VI0P	II0P	II0P2	II0P3	IVSS	IVSS2	IVSS3	VOUT	VOUT2	VOUT3	VVDD	VVDD2	VVDD3	IVDD	IVDD2	IVDD3
0.00000000E+000	-2.45000000E-011	5.50000000E-013	5.00000000E-014	-2.49850000E-010	-1.27350000E-010	-1.18750000E-010	9.99970000E-001	3.00000000E+000	5.00000000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	2.39000000E-010	1.51000000E-010	1.32750000E-010
2.50000000E-001	2.25000000E-011	1.50000000E-013	-1.70000000E-012	-9.34220000E-010	-5.04460000E-010	-5.20690000E-010	9.99970000E-001	3.00000000E+000	5.00000000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	9.12650000E-010	5.18100000E-010	5.44760000E-010
5.00000000E-001	2.35500000E-011	2.43500000E-011	9.49990000E-012	-2.55090000E-009	-1.71640000E-009	-1.44400000E-009	9.98990000E-001	3.00000000E+000	5.00000000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	2.77840000E-009	1.84890000E-009	1.41300000E-009
7.50000000E-001	-3.69990000E-012	2.65000000E-011	-1.10000000E-011	-7.76300000E-009	-5.29240000E-009	-4.67430000E-009	9.98990000E-001	2.99890000E+000	5.00000000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	7.80890000E-009	5.23230000E-009	4.65050000E-009
1.00000000E+000	1.82500000E-011	-2.79000000E-011	3.35000000E-012	-1.61900000E-008	-1.21250000E-008	-1.06050000E-008	9.96980000E-001	2.99890000E+000	4.99900000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	1.59650000E-008	1.15050000E-008	9.64520000E-009
1.25000000E+000	-2.03000000E-011	1.20500000E-011	-1.10500000E-011	-3.95990000E-008	-2.53400000E-008	-2.77000000E-008	9.93990000E-001	2.99600000E+000	4.99580000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	3.93390000E-008	2.51350000E-008	2.74100000E-008
1.50000000E+000	1.67500000E-011	4.29990000E-012	2.35000000E-012	-5.55350000E-008	-4.63350000E-008	-5.95350000E-008	9.91970000E-001	2.99400000E+000	4.99190000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	5.62800000E-008	4.73100000E-008	6.09290000E-008
1.75000000E+000	-4.99990000E-013	-1.45500000E-011	-3.90000000E-012	-8.77040000E-008	-7.97730000E-008	-1.20450000E-007	9.87980000E-001	2.98900000E+000	4.98390000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	8.47460000E-008	7.93330000E-008	1.18850000E-007
2.00000000E+000	-5.50000000E-012	5.80000000E-012	8.90000000E-012	-1.07750000E-007	-1.11200000E-007	-2.45340000E-007	9.84980000E-001	2.98400000E+000	4.96700000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	1.08450000E-007	1.09450000E-007	2.42800000E-007
2.25000000E+000	1.56500000E-011	-4.40000000E-012	8.05000000E-012	-1.47250000E-007	-1.64900000E-007	-5.18400000E-007	9.78970000E-001	2.97690000E+000	4.92900000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	1.48150000E-007	1.65240000E-007	5.21280000E-007
