ATTRIBUTES:

Attribute #1:C:\Metrics\ics\projects\6.2600J_S25\buonato_UP_NOT.ics
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:NOT  04/18/2025  17:16:24
DATE:04/18/2025
TIME:17:16:24

CONDITIONS:

ID:	VDD	
UNIT:	SMU4	
MODE: STEP	
START:	1	
STOP:	5	
PNTS:	3	
STEP:	2

ID:	I0P	
UNIT:	SMU1	
MODE: SWEEP	
START:	0	
STOP:	5	
PNTS:	21	
STEP:	0.25

ID:	VSS	
UNIT:	SMU2	
START:	0	
STOP:	1	
PNTS:	1	
	STEP:	0

ID:	OUT	
UNIT:	SMU3	
MODE: CONST	
VALUE:	0

DATA:  NOT  04/18/2025  17:16:24

VI0P	II0P	II0P2	II0P3	IVSS	IVSS2	IVSS3	VOUT	VOUT2	VOUT3	VVDD	VVDD2	VVDD3	IVDD	IVDD2	IVDD3
0.00000000E+000	-1.15000000E-012	2.62000000E-011	-6.55010000E-012	-1.41550000E-006	-1.40850000E-006	-1.22850000E-006	8.02980000E-001	2.80400000E+000	4.82790000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	1.41850000E-006	1.41850000E-006	1.24000000E-006
2.50000000E-001	-1.00000000E-011	-2.48000000E-011	-1.50000000E-013	-2.05540000E-006	-2.37850000E-006	-2.11100000E-006	7.12980000E-001	2.66890000E+000	4.70480000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	2.05650000E-006	2.37850000E-006	2.12400000E-006
5.00000000E-001	-1.30000000E-012	2.81500000E-011	-1.38000000E-011	-2.72900000E-006	-3.73040000E-006	-3.36800000E-006	6.18990000E-001	2.48290000E+000	4.53200000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	2.72990000E-006	3.72250000E-006	3.36940000E-006
7.50000000E-001	1.32000000E-011	-2.25000000E-011	1.75000000E-011	-3.37500000E-006	-5.64450000E-006	-5.10510000E-006	5.31010000E-001	2.21000000E+000	4.28690000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	3.36740000E-006	5.67110000E-006	5.13300000E-006
1.00000000E+000	-2.10000000E-011	1.84500000E-011	-2.34000000E-011	-3.94650000E-006	-8.01820000E-006	-7.52790000E-006	4.50990000E-001	1.88100000E+000	3.95590000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	3.93390000E-006	8.02660000E-006	7.49040000E-006
1.25000000E+000	2.47000000E-011	2.68490000E-011	2.85000000E-011	-4.43100000E-006	-1.04150000E-005	-1.05100000E-005	3.83000000E-001	1.55000000E+000	3.52490000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	4.43540000E-006	1.03900000E-005	1.05600000E-005
1.50000000E+000	-2.71990000E-011	2.51000000E-011	3.40490000E-011	-4.88340000E-006	-1.25500000E-005	-1.47050000E-005	3.19000000E-001	1.25000000E+000	2.94490000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	4.89200000E-006	1.25450000E-005	1.47600000E-005
1.75000000E+000	2.58490000E-011	-7.64990000E-012	-2.59000000E-011	-5.27340000E-006	-1.42950000E-005	-1.98000000E-005	2.65000000E-001	1.00700000E+000	2.23690000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	5.26990000E-006	1.43200000E-005	1.97750000E-005
2.00000000E+000	-1.62000000E-011	4.99990000E-013	2.27500000E-011	-5.61490000E-006	-1.57350000E-005	-2.39200000E-005	2.18990000E-001	8.06000000E-001	1.66400000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	5.61490000E-006	1.57300000E-005	2.39600000E-005
2.25000000E+000	1.26500000E-011	1.81500000E-011	-8.20010000E-012	-5.90340000E-006	-1.69250000E-005	-2.68190000E-005	1.78000000E-001	6.38980000E-001	1.25900000E+000	1.00000000E+000	3.00000000E+000	5.00000000E+000	5.90440000E-006	1.69440000E-005	2.68650000E-005
2.50000000E+000	7.29990000E-012	-1.93500000E-011	-6.60010000E-012	-6.15050000E-006	-1.78450000E-005	-2.89450000E-005	1.43000000E-001	5.13000000E-001	9.65970000E-001	1.00000000E+000	3.00000000E+000	5.00000000E+000	6.14740000E-006	1.78500000E-005	2.89590000E-005
