ATTRIBUTES:

Attribute #1:C:\Metrics\ics\projects\6.2600J_S25\buonato_NOT.ics
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:NOT  04/18/2025  12:11:03
DATE:04/18/2025
TIME:12:11:03

CONDITIONS:

ID:	VDD	
UNIT:	SMU4	
MODE: STEP	
START:	10	
STOP:	4	
PNTS:	4	
STEP:	-2

ID:	I0P	
UNIT:	SMU1	
MODE: SWEEP	
START:	10	
STOP:	0	
PNTS:	51	
STEP:	-0.2

ID:	VSS	
UNIT:	SMU2	
START:	0	
STOP:	1	
PNTS:	1	
	STEP:	0

ID:	OUT	
UNIT:	SMU3	
MODE: CONST	
VALUE:	0

DATA:  NOT  04/18/2025  12:11:03

VI0P	II0P	II0P2	II0P3	II0P4	IVSS	IVSS2	IVSS3	IVSS4	VOUT	VOUT2	VOUT3	VOUT4	VVDD	VVDD2	VVDD3	VVDD4	IVDD	IVDD2	IVDD3	IVDD4
1.00000000E+001	1.53700000E-007	2.47950000E-008	1.42240000E-009	1.27800000E-009	-1.10300000E-003	-9.86080000E-005	-1.81800000E-006	-4.13090000E-008	9.98970000E+000	7.99980000E+000	5.99000000E+000	3.99890000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	1.03900000E-003	9.03230000E-005	1.66400000E-006	3.78010000E-008
9.80000000E+000	7.68850000E-008	5.38560000E-010	8.04250000E-010	7.68840000E-010	-8.16170000E-004	-6.03850000E-005	-1.39200000E-006	-3.95160000E-008	9.99170000E+000	7.99980000E+000	5.99190000E+000	3.99890000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	7.94650000E-004	6.00680000E-005	1.38350000E-006	3.88500000E-008
9.60000000E+000	3.31490000E-008	3.64490000E-010	4.97040000E-010	4.23750000E-010	-7.28820000E-004	-4.07250000E-005	-1.14850000E-006	-3.58940000E-008	9.99270000E+000	7.99780000E+000	5.99290000E+000	3.99890000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	7.23090000E-004	4.06650000E-005	1.16550000E-006	3.42810000E-008
9.40000000E+000	6.24690000E-009	2.26250000E-010	3.32850000E-010	3.06600000E-010	-5.97120000E-004	-2.99950000E-005	-1.02800000E-006	-3.64140000E-008	9.99370000E+000	7.93700000E+000	5.99390000E+000	3.99890000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	5.93810000E-004	2.98800000E-005	9.93610000E-007	3.44440000E-008
9.20000000E+000	4.26500000E-011	1.11000000E-010	2.22350000E-010	1.71600000E-010	-4.97490000E-004	-2.44840000E-005	-9.04140000E-007	-3.32200000E-008	9.95510000E+000	7.63990000E+000	5.99490000E+000	3.99890000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	4.96090000E-004	2.44700000E-005	9.10130000E-007	3.24850000E-008
9.00000000E+000	4.12510000E-011	1.18550000E-010	1.54250000E-010	1.20450000E-010	-4.35050000E-004	-2.23650000E-005	-9.04220000E-007	-3.24740000E-008	5.19990000E-001	7.19700000E+000	5.99580000E+000	3.99890000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	4.34250000E-004	2.22050000E-005	9.14380000E-007	3.21510000E-008
8.80000000E+000	8.85510000E-011	3.48010000E-011	5.46990000E-011	9.11480000E-011	-3.69300000E-004	-2.10940000E-005	-8.18830000E-007	-3.26540000E-008	1.27000000E-001	6.93480000E+000	5.99580000E+000	3.99890000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	3.69100000E-004	2.11750000E-005	8.02040000E-007	3.18510000E-008
8.60000000E+000	2.05500000E-011	7.47990000E-011	8.48000000E-011	4.26500000E-011	-3.24700000E-004	-1.95150000E-005	-7.38940000E-007	-3.05150000E-008	1.02000000E-001	6.91890000E+000	5.99580000E+000	3.99890000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	3.24550000E-004	1.96000000E-005	7.38890000E-007	3.02610000E-008
8.40000000E+000	3.22000000E-011	4.35010000E-012	9.44970000E-012	5.23490000E-011	-2.88690000E-004	-1.77750000E-005	-7.31640000E-007	-2.86800000E-008	1.11000000E-001	7.01880000E+000	5.99680000E+000	3.99890000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	2.87910000E-004	1.76200000E-005	7.31140000E-007	2.82900000E-008
8.20000000E+000	1.41000000E-011	4.51500000E-011	3.83500000E-011	9.59990000E-012	-2.62710000E-004	-1.59750000E-005	-6.59380000E-007	-2.74650000E-008	1.33000000E-001	7.15500000E+000	5.99680000E+000	3.99890000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	2.62250000E-004	1.59400000E-005	6.53530000E-007	2.73100000E-008
