ATTRIBUTES:

Attribute #1:C:\Metrics\ics\projects\6.2600J_S25\buonato_NOT.ics
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:NOT  04/18/2025  11:07:50
DATE:04/18/2025
TIME:11:07:50

CONDITIONS:

ID:	VDD	
UNIT:	SMU4	
MODE: STEP	
START:	10	
STOP:	4	
PNTS:	4	
STEP:	-2

ID:	I0P	
UNIT:	SMU1	
MODE: SWEEP	
START:	10	
STOP:	3	
PNTS:	36	
STEP:	-0.2

ID:	VSS	
UNIT:	SMU2	
START:	0	
STOP:	1	
PNTS:	1	
	STEP:	0

ID:	OUT	
UNIT:	SMU3	
MODE: CONST	
VALUE:	0

DATA:  NOT  04/18/2025  11:07:50

VI0P	II0P	II0P2	II0P3	II0P4	IVSS	IVSS2	IVSS3	IVSS4	VOUT	VOUT2	VOUT3	VOUT4	VVDD	VVDD2	VVDD3	VVDD4	IVDD	IVDD2	IVDD3	IVDD4
1.00000000E+001	2.84550000E-009	1.94450000E-009	1.76200000E-009	1.74500000E-009	-5.08800000E-005	-3.95140000E-005	-3.00700000E-005	-2.01350000E-005	2.30000000E-001	4.11000000E-001	2.26000000E-001	1.32000000E-001	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	5.08040000E-005	3.94190000E-005	3.00150000E-005	2.01000000E-005
9.80000000E+000	1.33140000E-009	7.81480000E-010	9.54170000E-010	9.66110000E-010	-4.97490000E-005	-3.85640000E-005	-2.93600000E-005	-1.97150000E-005	4.46990000E-001	5.95000000E-001	3.60000000E-001	2.13000000E-001	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	4.97490000E-005	3.85550000E-005	2.93600000E-005	1.97100000E-005
9.60000000E+000	8.54440000E-010	7.25490000E-010	5.34950000E-010	5.61610000E-010	-4.72740000E-005	-3.72900000E-005	-2.86090000E-005	-1.92700000E-005	9.22970000E-001	8.40000000E-001	5.05980000E-001	3.00000000E-001	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	4.72700000E-005	3.72750000E-005	2.86090000E-005	1.92640000E-005
9.40000000E+000	1.43950000E-010	1.27000000E-010	7.79000000E-011	1.57100000E-010	-3.54740000E-005	-3.56450000E-005	-2.77850000E-005	-1.88050000E-005	3.19690000E+000	1.15600000E+000	6.64000000E-001	3.86990000E-001	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	3.54590000E-005	3.56250000E-005	2.77800000E-005	1.88050000E-005
9.20000000E+000	1.96700000E-010	-4.24990000E-011	1.36300000E-010	1.43250000E-010	-2.05600000E-005	-3.27900000E-005	-2.66540000E-005	-1.82600000E-005	6.04390000E+000	1.70200000E+000	8.81990000E-001	4.91990000E-001	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	2.05850000E-005	3.27840000E-005	2.66400000E-005	1.82700000E-005
9.00000000E+000	1.87700000E-010	2.49660000E-010	1.17300000E-010	1.01050000E-010	-1.18500000E-005	-2.64350000E-005	-2.48390000E-005	-1.76150000E-005	7.72900000E+000	2.91800000E+000	1.23000000E+000	6.17000000E-001	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	1.17900000E-005	2.64550000E-005	2.48090000E-005	1.76050000E-005
8.80000000E+000	-1.14400000E-010	-1.39050000E-010	2.20000000E-011	7.03510000E-011	-6.62850000E-006	-1.63340000E-005	-2.07350000E-005	-1.66850000E-005	8.71880000E+000	4.87300000E+000	2.01790000E+000	7.97000000E-001	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	6.63990000E-006	1.63800000E-005	2.07750000E-005	1.66740000E-005
8.60000000E+000	-1.51600000E-010	-1.01500000E-011	1.50000000E-011	5.00000000E-012	-3.62340000E-006	-9.79100000E-006	-1.35400000E-005	-1.49400000E-005	9.30080000E+000	6.11180000E+000	3.40490000E+000	1.13000000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	3.63250000E-006	9.65510000E-006	1.34000000E-005	1.49300000E-005
8.40000000E+000	1.73500000E-010	-4.90010000E-011	1.14500000E-011	3.92010000E-011	-1.88150000E-006	-5.77840000E-006	-8.30830000E-006	-1.14000000E-005	9.63180000E+000	6.87890000E+000	4.40800000E+000	1.80800000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	1.92400000E-006	5.77230000E-006	8.16960000E-006	1.13000000E-005
8.20000000E+000	2.88500000E-011	1.41350000E-010	7.59000000E-011	-4.02510000E-011	-8.65570000E-007	-3.16390000E-006	-5.01940000E-006	-7.15880000E-006	9.83110000E+000	7.38180000E+000	5.04490000E+000	2.63000000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	8.77250000E-007	3.20050000E-006	4.95600000E-006	7.15650000E-006
8.00000000E+000	-1.41000000E-010	-2.00050000E-010	-3.05000000E-011	-3.15000000E-011	-3.74290000E-007	-1.64700000E-006	-2.65800000E-006	-4.29600000E-006	9.92770000E+000	7.68580000E+000	5.49290000E+000	3.16890000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	3.70640000E-007	1.65400000E-006	2.59900000E-006	4.33860000E-006
7.80000000E+000	2.09150000E-010	1.95750000E-010	2.84500000E-011	6.70000000E-012	-1.54150000E-007	-8.37640000E-007	-1.39700000E-006	-2.42340000E-006	9.96970000E+000	7.83890000E+000	5.72290000E+000	3.53200000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	1.51250000E-007	8.51340000E-007	1.41200000E-006	2.45690000E-006
7.60000000E+000	-1.65600000E-010	-1.92650000E-010	-1.79500000E-011	1.02500000E-011	-5.23740000E-008	-3.72690000E-007	-6.83100000E-007	-1.20050000E-006	9.98880000E+000	7.92700000E+000	5.87280000E+000	3.76790000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	5.90950000E-008	3.80300000E-007	7.14850000E-007	1.21750000E-006
7.40000000E+000	-1.61200000E-010	-2.14000000E-011	-5.34990000E-012	-1.83000000E-011	-1.61850000E-008	-1.60190000E-007	-2.82800000E-007	-6.17700000E-007	9.99610000E+000	7.96900000E+000	5.94480000E+000	3.88100000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	1.77600000E-008	1.60250000E-007	2.86540000E-007	6.22180000E-007
7.20000000E+000	2.36400000E-010	3.12990000E-011	1.54000000E-011	3.33490000E-011	-5.20940000E-009	-5.84990000E-008	-1.11150000E-007	-2.77240000E-007	9.99900000E+000	7.98390000E+000	5.97800000E+000	3.94690000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	6.45290000E-009	7.48300000E-008	1.11450000E-007	2.75790000E-007
7.00000000E+000	2.05100000E-010	-6.39980000E-012	-2.19000000E-011	-3.03510000E-011	-1.07650000E-009	-2.75750000E-008	-3.88900000E-008	-1.19750000E-007	9.99900000E+000	7.99490000E+000	5.99190000E+000	3.97600000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	6.65490000E-010	2.84900000E-008	4.40050000E-008	1.22650000E-007
6.80000000E+000	-1.40500000E-010	-2.38500000E-011	2.50000000E-012	2.42500000E-011	-1.51500000E-010	-1.18050000E-008	-1.67150000E-008	-4.69500000E-008	9.99900000E+000	7.99780000E+000	5.99580000E+000	3.99000000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	4.17860000E-010	1.11150000E-008	1.64300000E-008	5.51350000E-008
6.60000000E+000	4.20000000E-011	2.81000000E-011	-4.99980000E-014	2.57000000E-011	-2.59450000E-010	-4.22050000E-009	-6.88330000E-009	-1.69150000E-008	9.99900000E+000	7.99880000E+000	5.99780000E+000	3.99600000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	-9.17490000E-011	5.02130000E-009	7.63700000E-009	1.64900000E-008
6.40000000E+000	-1.40600000E-010	2.77000000E-011	-1.13500000E-011	-2.36000000E-011	-5.39990000E-012	-1.45050000E-009	-2.48000000E-009	-6.99130000E-009	9.99900000E+000	7.99980000E+000	5.99900000E+000	3.99790000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	4.97440000E-010	1.54550000E-009	2.49750000E-009	6.63590000E-009
6.20000000E+000	2.00250000E-010	-2.53500000E-011	-4.54990000E-012	-2.72500000E-011	1.45500000E-011	-6.45340000E-010	-9.64060000E-010	-2.21140000E-009	9.99900000E+000	7.99980000E+000	5.99900000E+000	3.99890000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	-5.04400000E-010	8.00360000E-010	9.27970000E-010	2.14800000E-009
6.00000000E+000	-2.11550000E-010	2.52500000E-011	1.64000000E-011	2.92990000E-011	-9.49500000E-011	-2.13950000E-010	-3.15150000E-010	-8.37500000E-010	9.99900000E+000	7.99980000E+000	5.99900000E+000	3.99890000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	4.57800000E-010	2.42050000E-010	4.00940000E-010	9.80610000E-010
5.80000000E+000	1.56700000E-010	-2.76000000E-011	-2.22000000E-011	-2.70000000E-011	1.95100000E-010	-9.97500000E-011	-1.35650000E-010	-2.66300000E-010	9.99900000E+000	7.99980000E+000	5.99900000E+000	3.99890000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	-1.15750000E-010	1.10950000E-010	1.34650000E-010	2.72100000E-010
5.60000000E+000	-9.74510000E-011	2.70000000E-011	2.90000000E-012	2.54500000E-011	-1.85500000E-010	-8.88000000E-011	-4.10500000E-011	-7.85510000E-011	9.99900000E+000	7.99980000E+000	5.99900000E+000	3.99890000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	4.75500000E-011	9.21500000E-011	5.48500000E-011	8.39010000E-011
5.40000000E+000	-8.21000000E-011	-2.24500000E-011	8.35020000E-012	-2.86500000E-011	1.17300000E-010	-8.42490000E-011	-3.57490000E-011	-5.25000000E-011	9.99900000E+000	7.99980000E+000	5.99900000E+000	3.99890000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	3.27200000E-010	7.54490000E-011	2.04000000E-011	6.28010000E-011
