ATTRIBUTES:

Attribute #1:C:\Metrics\ics\projects\6.2600J_S25\res.ics
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:RES  04/18/2025  11:41:57
DATE:04/18/2025
TIME:11:41:57

CONDITIONS:

ID:	A	
UNIT:	SMU1	
MODE: CONST	
VALUE:	0

ID:	K	
UNIT:	SMU2	
MODE: SWEEP	
START:	0	
STOP:	10	
PNTS:	51	
STEP:	0.2

DATA:  RES  04/18/2025  11:41:57

IA	VK	IK	
-1.89500000E-011	0.00000000E+000	-6.60010000E-012	
-8.84980000E-012	2.00000000E-001	2.10000000E-012	
-2.10000000E-012	4.00000000E-001	2.97500000E-011	
-2.34000000E-011	6.00000000E-001	5.86480000E-011	
-6.83500000E-011	8.00000000E-001	8.76490000E-011	
-1.34850000E-010	1.00000000E+000	1.37750000E-010	
-2.25600000E-010	1.20000000E+000	2.12100000E-010	
-3.42150000E-010	1.40000000E+000	3.14300000E-010	
-5.12100000E-010	1.60000000E+000	4.77200000E-010	
-7.56360000E-010	1.80000000E+000	7.16260000E-010	
-1.07900000E-009	2.00000000E+000	1.04800000E-009	
-1.60450000E-009	2.20000000E+000	1.64100000E-009	
-2.49750000E-009	2.40000000E+000	2.47390000E-009	
-3.68440000E-009	2.60000000E+000	3.71540000E-009	
-5.51240000E-009	2.80000000E+000	5.52680000E-009	
-8.20550000E-009	3.00000000E+000	8.21050000E-009	
-1.11550000E-008	3.20000000E+000	1.11850000E-008	
-1.71150000E-008	3.40000000E+000	1.69600000E-008	
-2.56300000E-008	3.60000000E+000	2.55300000E-008	
-3.88150000E-008	3.80000000E+000	3.82550000E-008	
-5.68800000E-008	4.00000000E+000	5.64540000E-008	
-8.24000000E-008	4.20000000E+000	8.15710000E-008	
-1.06200000E-007	4.40000000E+000	1.05500000E-007	
-1.52600000E-007	4.60000000E+000	1.51400000E-007	
-2.13690000E-007	4.80000000E+000	2.12040000E-007	
-2.93600000E-007	5.00000000E+000	2.91300000E-007	
-3.95900000E-007	5.20000000E+000	3.93500000E-007	
-5.26490000E-007	5.40000000E+000	5.23900000E-007	
-6.84230000E-007	5.60000000E+000	6.80180000E-007	
-8.72240000E-007	5.80000000E+000	8.64440000E-007	
-8.17870000E-007	6.00000000E+000	7.47040000E-007	
-9.71080000E-007	6.20000000E+000	9.69160000E-007	
-1.15600000E-006	6.40000000E+000	1.15400000E-006	
-1.47450000E-006	6.60000000E+000	1.46800000E-006	
-1.85200000E-006	6.80000000E+000	1.84150000E-006	
-2.28590000E-006	7.00000000E+000	2.29200000E-006	
-2.81450000E-006	7.20000000E+000	2.83340000E-006	
-3.48000000E-006	7.40000000E+000	3.48440000E-006	
-4.35000000E-006	7.60000000E+000	4.31300000E-006	
-5.22590000E-006	7.80000000E+000	5.15530000E-006	
-6.51480000E-006	8.00000000E+000	6.44150000E-006	
-7.49790000E-006	8.20000000E+000	7.60750000E-006	
-9.88090000E-006	8.40000000E+000	9.77420000E-006	
-8.58910000E-006	8.60000000E+000	8.51320000E-006	
-1.03740000E-005	8.80000000E+000	1.02490000E-005	
-1.21400000E-005	9.00000000E+000	1.21800000E-005	
-1.44000000E-005	9.20000000E+000	1.41600000E-005	
-1.73390000E-005	9.40000000E+000	1.72800000E-005	
-2.09400000E-005	9.60000000E+000	2.09900000E-005	
-2.60300000E-005	9.80000000E+000	2.56900000E-005	
-3.10150000E-005	1.00000000E+001	3.09250000E-005	

TEST RESULTS:  RES  04/18/2025  11:41:57


