ATTRIBUTES:

Attribute #1:C:\Metrics\ics\projects\6.2600J_S25\buonato_NOT.ics
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:NOT  04/18/2025  10:58:29
DATE:04/18/2025
TIME:10:58:29

CONDITIONS:

ID:	VDD	
UNIT:	SMU4	
MODE: STEP	
START:	4	
STOP:	10	
PNTS:	4	
STEP:	2

ID:	I0P	
UNIT:	SMU1	
MODE: SWEEP	
START:	3	
STOP:	10	
PNTS:	36	
STEP:	0.2

ID:	VSS	
UNIT:	SMU2	
START:	0	
STOP:	1	
PNTS:	1	
	STEP:	0

ID:	OUT	
UNIT:	SMU3	
MODE: CONST	
VALUE:	0

DATA:  NOT  04/18/2025  10:58:29

VI0P	II0P	II0P2	II0P3	II0P4	IVSS	IVSS2	IVSS3	IVSS4	VOUT	VOUT2	VOUT3	VOUT4	VVDD	VVDD2	VVDD3	VVDD4	IVDD	IVDD2	IVDD3	IVDD4
3.00000000E+000	2.29000000E-011	-2.75000000E-011	-1.90000000E-011	1.13000000E-011	-1.42150000E-006	-1.27500000E-011	-1.05000000E-011	1.24500000E-011	3.72690000E+000	6.00000000E+000	8.00100000E+000	1.00000000E+001	4.00000000E+000	6.00000000E+000	8.00000000E+000	1.00000000E+001	1.37150000E-006	1.13500000E-011	1.44000000E-011	4.54000000E-011
3.20000000E+000	-2.24500000E-011	-2.78000000E-011	-1.93000000E-011	2.23000000E-011	-2.42450000E-006	-4.84990000E-012	7.10010000E-012	1.50500000E-011	3.53300000E+000	6.00000000E+000	8.00100000E+000	1.00000000E+001	4.00000000E+000	6.00000000E+000	8.00000000E+000	1.00000000E+001	2.43340000E-006	2.00000000E-011	2.26000000E-011	-7.60010000E-012
3.40000000E+000	1.22000000E-011	3.04010000E-011	2.95000000E-011	-3.06490000E-011	-4.05060000E-006	1.14000000E-011	3.00010000E-012	-1.11500000E-011	3.22900000E+000	6.00000000E+000	8.00100000E+000	1.00000000E+001	4.00000000E+000	6.00000000E+000	8.00000000E+000	1.00000000E+001	3.99140000E-006	-1.05000000E-011	3.00010000E-012	3.12990000E-011
3.60000000E+000	-3.43490000E-011	-2.47500000E-011	-2.80490000E-011	1.62500000E-011	-6.35650000E-006	-1.04000000E-011	-6.39980000E-012	1.53000000E-011	2.77890000E+000	6.00000000E+000	8.00100000E+000	1.00000000E+001	4.00000000E+000	6.00000000E+000	8.00000000E+000	1.00000000E+001	6.30250000E-006	2.08500000E-011	3.04500000E-011	-3.40000000E-012
3.80000000E+000	-3.04010000E-011	2.31000000E-011	2.36000000E-011	-2.65000000E-012	-6.68780000E-006	1.55500000E-011	1.47000000E-011	-7.10010000E-012	2.71590000E+000	6.00000000E+000	8.00100000E+000	1.00000000E+001	4.00000000E+000	6.00000000E+000	8.00000000E+000	1.00000000E+001	6.45450000E-006	-1.15000000E-011	-1.00000000E-013	1.63000000E-011
4.00000000E+000	1.14500000E-011	-5.64990000E-012	-1.75000000E-011	-1.39500000E-011	-7.90410000E-006	-1.05000000E-011	-1.07500000E-011	7.64990000E-012	2.48900000E+000	6.00000000E+000	8.00100000E+000	1.00000000E+001	4.00000000E+000	6.00000000E+000	8.00000000E+000	1.00000000E+001	7.65320000E-006	2.88500000E-011	2.24000000E-011	7.74980000E-012
4.20000000E+000	2.55000000E-012	-7.49980000E-012	1.88000000E-011	2.47500000E-011	-9.87530000E-006	1.22500000E-011	1.68500000E-011	-2.40000000E-012	2.11100000E+000	6.00000000E+000	8.00100000E+000	1.00000000E+001	4.00000000E+000	6.00000000E+000	8.00000000E+000	1.00000000E+001	9.59500000E-006	1.30000000E-012	-7.95010000E-012	7.20000000E-012
4.40000000E+000	-1.45000000E-011	2.03500000E-011	-3.35000000E-012	-2.42500000E-011	-1.20500000E-005	-4.60010000E-012	-1.64000000E-011	2.14990000E-012	1.68300000E+000	6.00000000E+000	8.00100000E+000	1.00000000E+001	4.00000000E+000	6.00000000E+000	8.00000000E+000	1.00000000E+001	1.17350000E-005	1.47500000E-011	1.73500000E-011	2.38500000E-011
4.60000000E+000	-1.51000000E-011	-2.67500000E-011	-6.35000000E-012	2.99000000E-011	-1.54850000E-005	-4.99990000E-013	8.49980000E-012	-2.14500000E-011	1.02900000E+000	6.00000000E+000	8.00100000E+000	1.00000000E+001	4.00000000E+000	6.00000000E+000	8.00000000E+000	1.00000000E+001	1.54700000E-005	7.99980000E-012	5.00000000E-014	2.18500000E-011
4.80000000E+000	-1.17000000E-011	3.65010000E-011	2.27990000E-011	-2.80490000E-011	-1.71150000E-005	-4.27000000E-011	-5.90000000E-011	-2.21100000E-010	7.13990000E-001	6.00000000E+000	8.00100000E+000	1.00000000E+001	4.00000000E+000	6.00000000E+000	8.00000000E+000	1.00000000E+001	1.71000000E-005	3.66000000E-011	6.26980000E-011	2.30550000E-010
5.00000000E+000	-6.30010000E-012	-2.45500000E-011	-2.73500000E-011	2.81000000E-011	-1.78650000E-005	-7.60190000E-010	-4.72540000E-010	-6.90140000E-010	5.70010000E-001	6.00000000E+000	8.00100000E+000	1.00000000E+001	4.00000000E+000	6.00000000E+000	8.00000000E+000	1.00000000E+001	1.78540000E-005	7.64890000E-010	4.81150000E-010	6.78090000E-010
