ATTRIBUTES:

Attribute #1:C:\Metrics\ics\projects\6.2600J_S25\res.ics
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:RES  04/18/2025  10:10:48
DATE:04/18/2025
TIME:10:10:48

CONDITIONS:

ID:	A	
UNIT:	SMU1	
MODE: CONST	
VALUE:	0

ID:	K	
UNIT:	SMU2	
MODE: SWEEP	
START:	-10	
STOP:	10	
PNTS:	51	
STEP:	0.4

DATA:  RES  04/18/2025  10:10:48

IA	VK	IK	
6.91690000E-006	-1.00000000E+001	-5.92560000E-006	
4.85800000E-006	-9.60000000E+000	-4.85100000E-006	
3.91550000E-006	-9.20000000E+000	-3.91740000E-006	
3.18940000E-006	-8.80000000E+000	-3.19250000E-006	
2.54800000E-006	-8.40000000E+000	-2.53950000E-006	
2.01700000E-006	-8.00000000E+000	-2.02350000E-006	
1.57850000E-006	-7.60000000E+000	-1.59700000E-006	
1.24650000E-006	-7.20000000E+000	-1.24000000E-006	
9.68110000E-007	-6.80000000E+000	-9.78060000E-007	
7.47180000E-007	-6.40000000E+000	-7.43780000E-007	
5.55300000E-007	-6.00000000E+000	-5.57950000E-007	
4.24040000E-007	-5.60000000E+000	-4.24800000E-007	
3.09650000E-007	-5.20000000E+000	-3.11290000E-007	
2.25690000E-007	-4.80000000E+000	-2.25150000E-007	
1.58550000E-007	-4.40000000E+000	-1.60050000E-007	
1.10950000E-007	-4.00000000E+000	-1.09000000E-007	
7.58190000E-008	-3.60000000E+000	-7.49600000E-008	
4.80100000E-008	-3.20000000E+000	-4.83250000E-008	
2.89700000E-008	-2.80000000E+000	-2.91900000E-008	
1.79050000E-008	-2.40000000E+000	-1.77000000E-008	
9.80980000E-009	-2.00000000E+000	-1.00650000E-008	
5.83400000E-009	-1.60000000E+000	-6.25590000E-009	
3.02940000E-009	-1.20000000E+000	-3.00640000E-009	
1.30200000E-009	-8.00000000E-001	-1.31300000E-009	
4.32810000E-010	-4.00000000E-001	-4.28340000E-010	
-2.14990000E-012	0.00000000E+000	1.56500000E-011	
-3.17510000E-011	4.00000000E-001	8.95020000E-012	
-3.66000000E-011	8.00000000E-001	7.04990000E-012	
-2.57500000E-011	1.20000000E+000	1.65000000E-012	
-4.70000000E-012	1.60000000E+000	-2.00000000E-012	
1.65500000E-011	2.00000000E+000	8.55000000E-012	
1.98000000E-011	2.40000000E+000	1.59000000E-011	
-4.99990000E-013	2.80000000E+000	2.92000000E-011	
-2.45500000E-011	3.20000000E+000	2.63000000E-011	
-4.38500000E-011	3.60000000E+000	1.34000000E-011	
-3.24010000E-011	4.00000000E+000	6.95000000E-012	
-2.00000000E-012	4.40000000E+000	7.54990000E-012	
1.43500000E-011	4.80000000E+000	1.96500000E-011	
1.45500000E-011	5.20000000E+000	3.19500000E-011	
-1.03000000E-011	5.60000000E+000	3.34010000E-011	
-2.94500000E-011	6.00000000E+000	2.79000000E-011	
-4.07000000E-011	6.40000000E+000	1.71990000E-011	
-3.53000000E-011	6.80000000E+000	1.21500000E-011	
-6.55010000E-012	7.20000000E+000	1.61500000E-011	
1.06000000E-011	7.60000000E+000	2.37500000E-011	
7.89990000E-012	8.00000000E+000	3.06490000E-011	
-1.86000000E-011	8.40000000E+000	3.54510000E-011	
-3.78510000E-011	8.80000000E+000	3.58010000E-011	
-4.86490000E-011	9.20000000E+000	1.57500000E-011	
-3.60990000E-011	9.60000000E+000	1.27500000E-011	
-1.90000000E-012	1.00000000E+001	1.67500000E-011	

TEST RESULTS:  RES  04/18/2025  10:10:48


