ATTRIBUTES:

Attribute #1:C:\Metrics\ics\projects\6.2600J_S25\res.ics
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:RES  04/28/2025  15:07:29
DATE:04/28/2025
TIME:15:07:29

CONDITIONS:

ID:	A	
UNIT:	SMU1	
MODE: CONST	
VALUE:	0

ID:	K	
UNIT:	SMU3	
MODE: SWEEP	
START:	-1	
STOP:	1	
PNTS:	51	
STEP:	0.04

DATA:  RES  04/28/2025  15:07:29

IA	VK	IK	
2.13800000E-008	-1.00000000E+000	-2.20700000E-008	
2.02400000E-008	-9.60000000E-001	-2.04950000E-008	
1.96050000E-008	-9.20000000E-001	-1.90850000E-008	
1.88800000E-008	-8.80000000E-001	-1.84100000E-008	
1.77600000E-008	-8.40000000E-001	-1.75300000E-008	
1.67000000E-008	-8.00000000E-001	-1.65100000E-008	
1.58050000E-008	-7.60000000E-001	-1.58850000E-008	
1.47300000E-008	-7.20000000E-001	-1.55150000E-008	
1.37850000E-008	-6.80000000E-001	-1.42800000E-008	
1.30550000E-008	-6.40000000E-001	-1.34900000E-008	
1.19800000E-008	-6.00000000E-001	-1.26200000E-008	
1.17050000E-008	-5.60000000E-001	-1.13850000E-008	
1.06450000E-008	-5.20000000E-001	-1.03000000E-008	
9.66020000E-009	-4.80000000E-001	-9.49010000E-009	
8.64890000E-009	-4.40000000E-001	-8.99260000E-009	
7.94120000E-009	-4.00000000E-001	-7.72660000E-009	
6.96950000E-009	-3.60000000E-001	-7.35940000E-009	
6.33390000E-009	-3.20000000E-001	-5.93190000E-009	
5.27140000E-009	-2.80000000E-001	-5.66980000E-009	
4.67090000E-009	-2.40000000E-001	-4.38650000E-009	
3.63780000E-009	-2.00000000E-001	-3.80850000E-009	
2.98350000E-009	-1.60000000E-001	-3.01340000E-009	
2.16200000E-009	-1.20000000E-001	-1.97540000E-009	
1.37750000E-009	-8.00000000E-002	-1.67100000E-009	
7.76850000E-010	-4.00000000E-002	-5.21540000E-010	
-1.14350000E-010	0.00000000E+000	-7.47490000E-011	
-5.74060000E-010	4.00000000E-002	5.83810000E-010	
-1.13540000E-009	8.00000000E-002	1.34500000E-009	
-1.87990000E-009	1.20000000E-001	1.87890000E-009	
-2.30690000E-009	1.60000000E-001	2.15550000E-009	
-2.78750000E-009	2.00000000E-001	3.05150000E-009	
-3.27840000E-009	2.40000000E-001	2.89800000E-009	
-3.39640000E-009	2.80000000E-001	3.80780000E-009	
-3.97630000E-009	3.20000000E-001	3.69290000E-009	
-4.19100000E-009	3.60000000E-001	4.42040000E-009	
-4.71300000E-009	4.00000000E-001	4.78230000E-009	
-5.12800000E-009	4.40000000E-001	4.91330000E-009	
-5.36150000E-009	4.80000000E-001	5.75530000E-009	
-5.92620000E-009	5.20000000E-001	5.66300000E-009	
-6.16300000E-009	5.60000000E-001	6.39080000E-009	
-6.60840000E-009	6.00000000E-001	6.66930000E-009	
-7.00930000E-009	6.40000000E-001	6.86530000E-009	
-7.40330000E-009	6.80000000E-001	7.77890000E-009	
-7.92940000E-009	7.20000000E-001	7.62250000E-009	
-7.99670000E-009	7.60000000E-001	8.29820000E-009	
-8.65470000E-009	8.00000000E-001	8.66880000E-009	
-9.01490000E-009	8.40000000E-001	8.84670000E-009	
-9.43730000E-009	8.80000000E-001	9.77480000E-009	
-9.93670000E-009	9.20000000E-001	9.61060000E-009	
-1.01440000E-008	9.60000000E-001	1.04350000E-008	
-1.05030000E-008	1.00000000E+000	1.05500000E-008	

TEST RESULTS:  RES  04/28/2025  15:07:29


