ATTRIBUTES:

Attribute #1:C:\Metrics\ics\projects\6.2600J_S25\res.ics
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:RES  04/28/2025  15:20:14
DATE:04/28/2025
TIME:15:20:14

CONDITIONS:

ID:	A	
UNIT:	SMU1	
MODE: CONST	
VALUE:	0

ID:	K	
UNIT:	SMU3	
MODE: SWEEP	
START:	-1	
STOP:	1	
PNTS:	51	
STEP:	0.04

DATA:  RES  04/28/2025  15:20:14

IA	VK	IK	
1.34350000E-008	-1.00000000E+000	-1.34150000E-008	
1.25100000E-008	-9.60000000E-001	-1.31500000E-008	
1.22700000E-008	-9.20000000E-001	-1.20650000E-008	
1.15600000E-008	-8.80000000E-001	-1.12750000E-008	
1.11600000E-008	-8.40000000E-001	-1.05450000E-008	
1.03800000E-008	-8.00000000E-001	-9.96990000E-009	
9.77980000E-009	-7.60000000E-001	-9.70790000E-009	
9.28320000E-009	-7.20000000E-001	-9.18400000E-009	
8.60060000E-009	-6.80000000E-001	-8.61200000E-009	
7.94580000E-009	-6.40000000E-001	-8.07950000E-009	
7.45740000E-009	-6.00000000E-001	-7.26390000E-009	
6.76440000E-009	-5.60000000E-001	-7.06380000E-009	
6.36190000E-009	-5.20000000E-001	-6.12930000E-009	
5.56430000E-009	-4.80000000E-001	-5.81900000E-009	
5.25140000E-009	-4.40000000E-001	-5.09180000E-009	
4.55290000E-009	-4.00000000E-001	-4.64680000E-009	
4.19840000E-009	-3.60000000E-001	-4.23640000E-009	
3.62550000E-009	-3.20000000E-001	-3.53890000E-009	
3.07150000E-009	-2.80000000E-001	-3.27790000E-009	
2.73140000E-009	-2.40000000E-001	-2.54190000E-009	
2.03900000E-009	-2.00000000E-001	-2.27090000E-009	
1.86590000E-009	-1.60000000E-001	-1.68690000E-009	
1.14500000E-009	-1.20000000E-001	-1.28400000E-009	
9.57470000E-010	-8.00000000E-002	-9.00710000E-010	
3.80200000E-010	-4.00000000E-002	-3.45000000E-010	
6.85010000E-012	0.00000000E+000	-1.15450000E-010	
-3.67190000E-010	4.00000000E-002	5.47540000E-010	
-7.66450000E-010	8.00000000E-002	9.68950000E-010	
-1.26650000E-009	1.20000000E-001	1.41740000E-009	
-2.12340000E-009	1.60000000E-001	2.06840000E-009	
-2.47350000E-009	2.00000000E-001	2.48190000E-009	
-3.23100000E-009	2.40000000E-001	3.31090000E-009	
-3.92450000E-009	2.80000000E-001	3.80780000E-009	
-4.46040000E-009	3.20000000E-001	4.62750000E-009	
-5.45490000E-009	3.60000000E-001	5.32190000E-009	
-5.78190000E-009	4.00000000E-001	5.96200000E-009	
-6.95290000E-009	4.40000000E-001	6.87940000E-009	
-7.21180000E-009	4.80000000E-001	7.32640000E-009	
-8.35090000E-009	5.20000000E-001	8.32690000E-009	
-8.79890000E-009	5.60000000E-001	8.82980000E-009	
-9.56790000E-009	6.00000000E-001	9.63840000E-009	
-1.04150000E-008	6.40000000E-001	1.04200000E-008	
-1.11500000E-008	6.80000000E-001	1.09500000E-008	
-1.20950000E-008	7.20000000E-001	1.19800000E-008	
-1.21050000E-008	7.60000000E-001	1.22450000E-008	
-1.27050000E-008	8.00000000E-001	1.27750000E-008	
-1.43000000E-008	8.40000000E-001	1.40650000E-008	
-1.41100000E-008	8.80000000E-001	1.44150000E-008	
-1.45600000E-008	9.20000000E-001	1.45200000E-008	
-1.60200000E-008	9.60000000E-001	1.57950000E-008	
-1.62500000E-008	1.00000000E+000	1.64150000E-008	

TEST RESULTS:  RES  04/28/2025  15:20:14


