ATTRIBUTES:

Attribute #1:C:\Metrics\ics\projects\6.2600J_S25\res.ics
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:RES  04/28/2025  15:13:21
DATE:04/28/2025
TIME:15:13:21

CONDITIONS:

ID:	A	
UNIT:	SMU1	
MODE: CONST	
VALUE:	0

ID:	K	
UNIT:	SMU3	
MODE: SWEEP	
START:	-1	
STOP:	1	
PNTS:	51	
STEP:	0.04

DATA:  RES  04/28/2025  15:13:21

IA	VK	IK	
2.25650000E-009	-1.00000000E+000	-2.28190000E-009	
1.96950000E-009	-9.60000000E-001	-1.99250000E-009	
1.80400000E-009	-9.20000000E-001	-1.74840000E-009	
1.51200000E-009	-8.80000000E-001	-1.52990000E-009	
1.40400000E-009	-8.40000000E-001	-1.34890000E-009	
1.12700000E-009	-8.00000000E-001	-1.15400000E-009	
1.01000000E-009	-7.60000000E-001	-9.67930000E-010	
8.51340000E-010	-7.20000000E-001	-8.25250000E-010	
6.98610000E-010	-6.80000000E-001	-7.04690000E-010	
6.55090000E-010	-6.40000000E-001	-5.96800000E-010	
4.88140000E-010	-6.00000000E-001	-4.97810000E-010	
4.71740000E-010	-5.60000000E-001	-4.18850000E-010	
3.50260000E-010	-5.20000000E-001	-3.43090000E-010	
3.24800000E-010	-4.80000000E-001	-2.94800000E-010	
2.62000000E-010	-4.40000000E-001	-2.22300000E-010	
2.07550000E-010	-4.00000000E-001	-1.91550000E-010	
1.94450000E-010	-3.60000000E-001	-1.41850000E-010	
1.10450000E-010	-3.20000000E-001	-1.11700000E-010	
1.44400000E-010	-2.80000000E-001	-8.34000000E-011	
5.73500000E-011	-2.40000000E-001	-5.33490000E-011	
9.51990000E-011	-2.00000000E-001	-4.78990000E-011	
3.96000000E-011	-1.60000000E-001	-1.48500000E-011	
2.45500000E-011	-1.20000000E-001	-1.11000000E-011	
4.92990000E-011	-8.00000000E-002	1.45500000E-011	
-2.48000000E-011	-4.00000000E-002	2.25000000E-011	
3.14500000E-011	0.00000000E+000	2.69000000E-011	
-2.55990000E-011	4.00000000E-002	4.31990000E-011	
-2.07000000E-011	8.00000000E-002	4.48990000E-011	
-4.20000000E-012	1.20000000E-001	6.41520000E-011	
-7.06490000E-011	1.60000000E-001	7.20490000E-011	
-1.82000000E-011	2.00000000E-001	8.65010000E-011	
-9.07010000E-011	2.40000000E-001	9.86480000E-011	
-6.78990000E-011	2.80000000E-001	1.02000000E-010	
-8.22490000E-011	3.20000000E-001	1.28050000E-010	
-1.23200000E-010	3.60000000E-001	1.31550000E-010	
-9.03990000E-011	4.00000000E-001	1.50250000E-010	
-1.68200000E-010	4.40000000E-001	1.68450000E-010	
-1.25950000E-010	4.80000000E-001	1.73350000E-010	
-1.68350000E-010	5.20000000E-001	2.04350000E-010	
-1.97800000E-010	5.60000000E-001	2.05950000E-010	
-1.81450000E-010	6.00000000E-001	2.29900000E-010	
-2.49660000E-010	6.40000000E-001	2.43740000E-010	
-2.04400000E-010	6.80000000E-001	2.66590000E-010	
-2.82450000E-010	7.20000000E-001	2.81740000E-010	
-2.44990000E-010	7.60000000E-001	2.91590000E-010	
-2.97750000E-010	8.00000000E-001	3.17040000E-010	
-2.99150000E-010	8.40000000E-001	3.17000000E-010	
-3.03800000E-010	8.80000000E-001	3.46740000E-010	
-3.53050000E-010	9.20000000E-001	3.47900000E-010	
-3.20900000E-010	9.60000000E-001	3.73740000E-010	
-3.93800000E-010	1.00000000E+000	3.85450000E-010	

TEST RESULTS:  RES  04/28/2025  15:13:21


