ATTRIBUTES:

Attribute #1:C:\Metrics\ics\projects\6.2600J_S25\buonato_NOT.ics
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:NOT  04/18/2025  10:47:19
DATE:04/18/2025
TIME:10:47:19

CONDITIONS:

ID:	VDD	
UNIT:	SMU4	
MODE: STEP	
START:	1	
STOP:	10	
PNTS:	10	
STEP:	1

ID:	I0P	
UNIT:	SMU1	
MODE: SWEEP	
START:	0	
STOP:	10	
PNTS:	51	
STEP:	0.2

ID:	VSS	
UNIT:	SMU2	
START:	0	
STOP:	1	
PNTS:	1	
	STEP:	0

ID:	OUT	
UNIT:	SMU3	
MODE: CONST	
VALUE:	0

DATA:  NOT  04/18/2025  10:47:19

VI0P	II0P	II0P2	II0P3	II0P4	II0P5	II0P6	II0P7	II0P8	II0P9	II0P10	IVSS	IVSS2	IVSS3	IVSS4	IVSS5	IVSS6	IVSS7	IVSS8	IVSS9	IVSS10	VOUT	VOUT2	VOUT3	VOUT4	VOUT5	VOUT6	VOUT7	VOUT8	VOUT9	VOUT10	VVDD	VVDD2	VVDD3	VVDD4	VVDD5	VVDD6	VVDD7	VVDD8	VVDD9	VVDD10	IVDD	IVDD2	IVDD3	IVDD4	IVDD5	IVDD6	IVDD7	IVDD8	IVDD9	IVDD10
0.00000000E+000	2.88500000E-011	-3.48010000E-011	-2.65000000E-011	-2.58000000E-011	-3.20510000E-011	1.93990000E-011	-3.15000000E-012	-4.09010000E-011	-2.32940000E-010	-1.19440000E-009	-1.95500000E-011	-1.09500000E-011	-1.12000000E-011	-1.38000000E-011	-1.18000000E-011	1.49500000E-011	9.34980000E-012	-1.24500000E-011	-1.07500000E-011	9.65010000E-012	9.99970000E-001	1.99990000E+000	2.99890000E+000	3.99890000E+000	4.99900000E+000	5.99900000E+000	6.99900000E+000	7.99980000E+000	8.99900000E+000	9.99900000E+000	1.00000000E+000	2.00000000E+000	3.00000000E+000	4.00000000E+000	5.00000000E+000	6.00000000E+000	7.00000000E+000	8.00000000E+000	9.00000000E+000	1.00000000E+001	4.51000000E-011	-4.20000000E-012	6.99990000E-013	-3.25000000E-012	2.35000000E-012	1.34000000E-011	1.08500000E-011	4.62000000E-011	1.84700000E-010	1.13600000E-009
2.00000000E-001	3.37510000E-011	-3.00510000E-011	-3.09990000E-011	-1.34500000E-011	-2.47000000E-011	2.48000000E-011	1.36000000E-011	-3.05990000E-011	-1.29750000E-010	-7.14750000E-010	-1.15300000E-010	-1.39000000E-011	-7.79990000E-012	-1.21000000E-011	-1.46500000E-011	2.90000000E-012	-1.01000000E-011	6.15000000E-012	-1.49500000E-011	-1.35000000E-012	9.98990000E-001	1.99990000E+000	2.99890000E+000	3.99890000E+000	4.99900000E+000	5.99900000E+000	6.99900000E+000	7.99980000E+000	8.99900000E+000	1.00000000E+001	1.00000000E+000	2.00000000E+000	3.00000000E+000	4.00000000E+000	5.00000000E+000	6.00000000E+000	7.00000000E+000	8.00000000E+000	9.00000000E+000	1.00000000E+001	1.10800000E-010	1.96000000E-011	2.08000000E-011	2.95000000E-011	2.11500000E-011	7.70000000E-012	1.12000000E-011	1.05500000E-011	1.23300000E-010	6.93890000E-010
4.00000000E-001	-2.53500000E-011	2.17000000E-011	2.58000000E-011	-2.05000000E-012	4.54990000E-012	-2.71000000E-011	-3.18000000E-011	1.81000000E-011	-4.47500000E-011	-4.03900000E-010	-3.97800000E-010	1.64000000E-011	1.35500000E-011	1.07500000E-011	1.26500000E-011	-1.38000000E-011	-6.74990000E-012	4.35010000E-012	1.56500000E-011	1.19500000E-011	9.99970000E-001	1.99990000E+000	2.99790000E+000	3.99890000E+000	4.99900000E+000	5.99900000E+000	6.99900000E+000	7.99980000E+000	8.99900000E+000	1.00000000E+001	1.00000000E+000	2.00000000E+000	3.00000000E+000	4.00000000E+000	5.00000000E+000	6.00000000E+000	7.00000000E+000	8.00000000E+000	9.00000000E+000	1.00000000E+001	3.93800000E-010	-9.40000000E-012	-1.29500000E-011	1.42500000E-011	-6.65000000E-012	1.65000000E-011	2.34000000E-011	9.65010000E-012	4.68990000E-011	4.31700000E-010
6.00000000E-001	-3.15500000E-011	-1.12000000E-011	-1.27000000E-011	1.82500000E-011	9.84990000E-012	1.79000000E-011	2.75000000E-011	-3.28010000E-011	-3.07010000E-011	-1.14850000E-010	-9.96290000E-010	-1.25500000E-011	-6.15000000E-012	-3.25000000E-012	-7.45000000E-012	1.51000000E-011	9.09980000E-012	-1.17500000E-011	-1.08500000E-011	1.11500000E-011	9.98990000E-001	1.99990000E+000	2.99890000E+000	3.99890000E+000	4.99900000E+000	5.99900000E+000	6.99900000E+000	7.99980000E+000	8.99900000E+000	9.99900000E+000	1.00000000E+000	2.00000000E+000	3.00000000E+000	4.00000000E+000	5.00000000E+000	6.00000000E+000	7.00000000E+000	8.00000000E+000	9.00000000E+000	1.00000000E+001	9.74750000E-010	5.69990000E-012	7.15000000E-012	3.50000000E-012	1.20500000E-011	-1.21000000E-011	-1.45000000E-012	2.49500000E-011	5.19500000E-011	2.55250000E-010
8.00000000E-001	2.86500000E-011	2.25000000E-012	-5.25000000E-012	-2.54990000E-011	-2.73500000E-011	5.45010000E-012	-2.33000000E-011	2.13500000E-011	-3.61510000E-011	5.95810000E-010	-2.18350000E-009	1.37500000E-011	8.45010000E-012	-9.99980000E-013	-2.49990000E-013	-5.50000000E-012	-8.55000000E-012	1.42000000E-011	2.90000000E-012	9.74990000E-012	9.98990000E-001	1.99990000E+000	2.99890000E+000	3.99790000E+000	4.99900000E+000	5.99900000E+000	6.99900000E+000	7.99980000E+000	8.99900000E+000	9.99900000E+000	1.00000000E+000	2.00000000E+000	3.00000000E+000	4.00000000E+000	5.00000000E+000	6.00000000E+000	7.00000000E+000	8.00000000E+000	9.00000000E+000	1.00000000E+001	2.17600000E-009	-4.95000000E-012	-8.90000000E-012	1.29000000E-011	1.17500000E-011	1.71990000E-011	1.91000000E-011	-6.30010000E-012	1.65500000E-011	1.56050000E-010
1.00000000E+000	3.20000000E-012	1.02500000E-011	2.10990000E-011	2.54990000E-011	2.74000000E-011	-1.58490000E-011	7.99980000E-012	-7.85010000E-012	1.86000000E-011	-1.20100000E-010	-5.08840000E-009	-7.95010000E-012	-3.50000000E-013	1.26000000E-011	6.00010000E-012	2.20000000E-012	6.00010000E-012	-8.10020000E-012	9.15000000E-012	-1.69000000E-011	9.98990000E-001	1.99990000E+000	2.99890000E+000	3.99890000E+000	4.99900000E+000	5.99900000E+000	6.99900000E+000	7.99980000E+000	8.99900000E+000	9.99900000E+000	1.00000000E+000	2.00000000E+000	3.00000000E+000	4.00000000E+000	5.00000000E+000	6.00000000E+000	7.00000000E+000	8.00000000E+000	9.00000000E+000	1.00000000E+001	5.06250000E-009	1.13000000E-011	4.60010000E-012	-1.06000000E-011	-1.41000000E-011	-3.45000000E-012	-5.20000000E-012	2.01000000E-011	1.39000000E-011	1.19050000E-010
1.20000000E+000	-5.25000000E-012	-1.95500000E-011	-2.68000000E-011	-2.76500000E-011	-2.40000000E-011	2.87500000E-011	6.65000000E-012	-8.39990000E-012	-3.07010000E-011	-5.56500000E-011	-9.86850000E-009	1.15000000E-012	-5.45010000E-012	-1.05000000E-011	-1.21000000E-011	6.60010000E-012	-1.23500000E-011	6.44990000E-012	-1.17000000E-011	1.31500000E-011	9.97990000E-001	1.99990000E+000	2.99790000E+000	3.99890000E+000	4.99900000E+000	5.99900000E+000	6.99900000E+000	7.99980000E+000	9.00000000E+000	9.99900000E+000	1.00000000E+000	2.00000000E+000	3.00000000E+000	4.00000000E+000	5.00000000E+000	6.00000000E+000	7.00000000E+000	8.00000000E+000	9.00000000E+000	1.00000000E+001	9.30550000E-009	9.90010000E-012	1.27000000E-011	1.10000000E-011	2.31500000E-011	2.65000000E-012	1.24500000E-011	-1.07500000E-011	2.91500000E-011	5.28500000E-011
1.40000000E+000	-2.24500000E-011	2.69000000E-011	3.09990000E-011	2.14000000E-011	1.11000000E-011	-2.96490000E-011	-1.96000000E-011	2.40500000E-011	1.33500000E-011	-1.83000000E-011	-1.83800000E-008	2.40000000E-012	1.24000000E-011	1.14500000E-011	1.12000000E-011	-9.59990000E-012	6.15000000E-012	-1.20000000E-012	2.54990000E-011	-1.48500000E-011	9.96000000E-001	1.99990000E+000	2.99890000E+000	3.99790000E+000	4.99900000E+000	6.00000000E+000	6.99900000E+000	7.99980000E+000	8.99900000E+000	1.00000000E+001	1.00000000E+000	2.00000000E+000	3.00000000E+000	4.00000000E+000	5.00000000E+000	6.00000000E+000	7.00000000E+000	8.00000000E+000	9.00000000E+000	1.00000000E+001	1.74500000E-008	5.55000000E-012	-7.60010000E-012	-8.30000000E-012	-5.50000000E-013	2.04500000E-011	8.95020000E-012	1.52000000E-011	-1.02500000E-011	4.86490000E-011
1.60000000E+000	-1.78000000E-011	-3.15000000E-011	-1.52500000E-011	-4.75000000E-012	9.74990000E-012	2.47000000E-011	2.57500000E-011	-3.02990000E-011	-3.50000000E-012	-4.48500000E-011	-3.82300000E-008	-9.30010000E-012	-8.70010000E-012	-1.03500000E-011	-1.05500000E-011	1.67000000E-011	4.75000000E-012	-2.50000000E-012	-1.19500000E-011	-6.00010000E-012	9.91970000E-001	1.99990000E+000	2.99790000E+000	3.99890000E+000	4.99900000E+000	5.99900000E+000	6.99900000E+000	7.99980000E+000	8.99900000E+000	1.00000000E+001	1.00000000E+000	2.00000000E+000	3.00000000E+000	4.00000000E+000	5.00000000E+000	6.00000000E+000	7.00000000E+000	8.00000000E+000	9.00000000E+000	1.00000000E+001	3.83610000E-008	1.43000000E-011	1.78000000E-011	1.55000000E-011	8.05000000E-012	-2.09000000E-011	5.60000000E-012	7.54990000E-012	1.29000000E-011	2.80490000E-011
1.80000000E+000	3.09500000E-011	2.64500000E-011	9.99980000E-013	-5.85000000E-012	-2.57500000E-011	-1.01500000E-011	-2.92500000E-011	2.66500000E-011	-1.19000000E-011	2.10990000E-011	-7.84090000E-008	1.41500000E-011	4.90010000E-012	1.02500000E-011	-3.85000000E-012	-1.52500000E-011	-5.89990000E-012	6.19990000E-012	1.22500000E-011	1.04000000E-011	9.83980000E-001	1.99990000E+000	2.99890000E+000	3.99790000E+000	4.99900000E+000	5.99900000E+000	6.99900000E+000	7.99980000E+000	9.00000000E+000	9.99900000E+000	1.00000000E+000	2.00000000E+000	3.00000000E+000	4.00000000E+000	5.00000000E+000	6.00000000E+000	7.00000000E+000	8.00000000E+000	9.00000000E+000	1.00000000E+001	7.75440000E-008	-1.82000000E-011	-4.84990000E-012	-6.99990000E-013	1.73500000E-011	2.09000000E-011	1.69000000E-011	-9.65010000E-012	-1.12500000E-011	1.26500000E-011
