ATTRIBUTES:

Attribute #1:C:\Metrics\ics\projects\6.2600J_S25\buonato_NOT.ics
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:NOT  04/18/2025  12:04:26
DATE:04/18/2025
TIME:12:04:26

CONDITIONS:

ID:	VDD	
UNIT:	SMU4	
MODE: STEP	
START:	10	
STOP:	4	
PNTS:	4	
STEP:	-2

ID:	I0P	
UNIT:	SMU1	
MODE: SWEEP	
START:	10	
STOP:	0	
PNTS:	51	
STEP:	-0.2

ID:	VSS	
UNIT:	SMU2	
START:	0	
STOP:	1	
PNTS:	1	
	STEP:	0

ID:	OUT	
UNIT:	SMU3	
MODE: CONST	
VALUE:	0

DATA:  NOT  04/18/2025  12:04:26

VI0P	II0P	II0P2	II0P3	II0P4	IVSS	IVSS2	IVSS3	IVSS4	VOUT	VOUT2	VOUT3	VOUT4	VVDD	VVDD2	VVDD3	VVDD4	IVDD	IVDD2	IVDD3	IVDD4
1.00000000E+001	2.61700000E-007	2.06750000E-007	2.01250000E-007	1.94490000E-007	-1.04500000E-004	-5.67190000E-005	-7.55350000E-006	-4.72400000E-007	5.90000000E-002	2.34190000E+000	5.97490000E+000	3.99890000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	1.04000000E-004	5.16750000E-005	7.00940000E-006	2.47990000E-007
9.80000000E+000	1.42950000E-007	1.22600000E-007	1.21750000E-007	1.18200000E-007	-1.03200000E-004	-4.67950000E-005	-6.61240000E-006	-3.46790000E-007	7.09990000E-002	3.80590000E+000	5.98100000E+000	3.99890000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	1.03100000E-004	4.63350000E-005	6.47340000E-006	2.30040000E-007
9.60000000E+000	8.34660000E-008	7.10130000E-008	7.31160000E-008	7.23260000E-008	-1.01090000E-004	-3.91840000E-005	-5.73900000E-006	-2.84200000E-007	9.10000000E-002	4.73290000E+000	5.98390000E+000	3.99890000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	1.00810000E-004	3.89090000E-005	5.63750000E-006	2.09500000E-007
9.40000000E+000	4.52860000E-008	3.92900000E-008	4.28240000E-008	4.40300000E-008	-9.76100000E-005	-3.36000000E-005	-5.00000000E-006	-2.33190000E-007	1.03000000E-001	5.14990000E+000	5.98680000E+000	3.99890000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	9.75280000E-005	3.34100000E-005	4.93900000E-006	1.91650000E-007
9.20000000E+000	2.49200000E-008	2.07650000E-008	2.40650000E-008	2.63450000E-008	-9.01030000E-005	-2.06000000E-005	-4.15390000E-006	-2.04550000E-007	1.17000000E-001	6.83200000E+000	5.98800000E+000	3.99890000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	9.00550000E-005	2.06300000E-005	4.11740000E-006	1.75500000E-007
9.00000000E+000	5.04880000E-009	6.32900000E-009	1.26550000E-008	1.54900000E-008	-5.57660000E-004	-1.97750000E-005	-3.38590000E-006	-1.81050000E-007	9.99460000E+000	7.99190000E+000	5.99100000E+000	3.99890000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	5.44550000E-004	1.97050000E-005	3.36550000E-006	1.65300000E-007
8.80000000E+000	2.08300000E-009	2.19100000E-009	6.19390000E-009	8.83890000E-009	-8.18190000E-004	-4.15150000E-005	-2.62290000E-006	-1.47450000E-007	9.99170000E+000	7.99880000E+000	5.99190000E+000	3.99890000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	7.92650000E-004	4.07140000E-005	2.61140000E-006	1.38690000E-007
8.60000000E+000	1.04450000E-009	1.04700000E-009	2.65450000E-009	4.91830000E-009	-8.11220000E-004	-6.68500000E-005	-2.11000000E-006	-1.29550000E-007	9.99170000E+000	7.99880000E+000	5.99190000E+000	3.99890000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	7.86870000E-004	6.56140000E-005	2.11140000E-006	1.25100000E-007
8.40000000E+000	5.49360000E-010	5.87130000E-010	1.15650000E-009	2.63840000E-009	-9.47210000E-004	-5.94540000E-005	-1.76950000E-006	-1.06250000E-007	9.99070000E+000	7.99780000E+000	5.99190000E+000	3.99890000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	9.22410000E-004	5.89400000E-005	1.74600000E-006	1.05650000E-007
8.20000000E+000	3.08150000E-010	3.00940000E-010	5.52460000E-010	1.34400000E-009	-5.82220000E-004	-4.65940000E-005	-1.42450000E-006	-8.56850000E-008	9.99370000E+000	7.99000000E+000	5.99190000E+000	3.99890000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	5.67550000E-004	4.60840000E-005	1.43250000E-006	8.73190000E-008
