ATTRIBUTES:

Attribute #1:C:\Metrics\ics\projects\6.2600J_S25\buonato_NOT.ics
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:NOT  04/18/2025  11:50:42
DATE:04/18/2025
TIME:11:50:42

CONDITIONS:

ID:	VDD	
UNIT:	SMU4	
MODE: STEP	
START:	10	
STOP:	4	
PNTS:	4	
STEP:	-2

ID:	I0P	
UNIT:	SMU1	
MODE: SWEEP	
START:	10	
STOP:	3	
PNTS:	36	
STEP:	-0.2

ID:	VSS	
UNIT:	SMU2	
START:	0	
STOP:	1	
PNTS:	1	
	STEP:	0

ID:	OUT	
UNIT:	SMU3	
MODE: CONST	
VALUE:	0

DATA:  NOT  04/18/2025  11:50:42

VI0P	II0P	II0P2	II0P3	II0P4	IVSS	IVSS2	IVSS3	IVSS4	VOUT	VOUT2	VOUT3	VOUT4	VVDD	VVDD2	VVDD3	VVDD4	IVDD	IVDD2	IVDD3	IVDD4
1.00000000E+001	8.20010000E-012	2.32500000E-011	-1.17500000E-011	-6.79990000E-012	-1.26500000E-009	-1.19150000E-009	-1.23450000E-009	-1.10350000E-009	9.99900000E+000	7.99980000E+000	5.99900000E+000	3.99890000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	1.25790000E-009	1.17150000E-009	1.18250000E-009	1.04850000E-009
9.80000000E+000	-2.05500000E-011	3.63500000E-011	-1.56000000E-011	-2.13000000E-011	-9.88560000E-010	-9.45530000E-010	-9.63320000E-010	-8.81840000E-010	9.99900000E+000	7.99980000E+000	5.99900000E+000	3.99890000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	1.02550000E-009	9.69750000E-010	9.59570000E-010	8.66410000E-010
9.60000000E+000	3.60000000E-011	-2.61500000E-011	3.48500000E-011	3.32000000E-011	-8.14260000E-010	-7.75660000E-010	-7.58030000E-010	-7.22140000E-010	9.99900000E+000	7.99980000E+000	5.99900000E+000	3.99890000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	8.33040000E-010	7.85490000E-010	7.65740000E-010	7.17990000E-010
9.40000000E+000	-1.88000000E-011	3.47000000E-011	-1.28000000E-011	-1.66500000E-011	-6.80390000E-010	-6.14250000E-010	-6.51800000E-010	-6.12800000E-010	9.99900000E+000	7.99980000E+000	5.99900000E+000	3.99890000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	7.07190000E-010	6.15240000E-010	6.51650000E-010	6.19590000E-010
9.20000000E+000	1.16500000E-011	-7.64990000E-012	-1.90000000E-012	1.13000000E-011	-5.42000000E-010	-5.34440000E-010	-5.19430000E-010	-4.94340000E-010	9.99900000E+000	7.99980000E+000	5.99900000E+000	3.99890000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	5.50700000E-010	5.50640000E-010	5.19430000E-010	4.98010000E-010
9.00000000E+000	1.24000000E-011	-7.50010000E-013	2.21000000E-011	2.37000000E-011	-4.63040000E-010	-4.19500000E-010	-4.37590000E-010	-4.31140000E-010	9.99900000E+000	7.99980000E+000	5.99900000E+000	3.99890000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	4.89390000E-010	4.14000000E-010	4.40050000E-010	4.29250000E-010
8.80000000E+000	-2.41000000E-011	2.35500000E-011	-2.19500000E-011	-2.22500000E-011	-3.78600000E-010	-3.58700000E-010	-3.65200000E-010	-3.69650000E-010	9.99900000E+000	7.99980000E+000	5.99900000E+000	3.99890000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	3.91850000E-010	3.65500000E-010	3.69100000E-010	3.71950000E-010
8.60000000E+000	3.75010000E-011	-2.76500000E-011	3.26990000E-011	3.09000000E-011	-3.02900000E-010	-3.01600000E-010	-2.87500000E-010	-2.82750000E-010	9.99900000E+000	7.99980000E+000	5.99900000E+000	3.99890000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	3.15890000E-010	3.20040000E-010	2.85890000E-010	2.78800000E-010
8.40000000E+000	-1.24000000E-011	2.62500000E-011	-1.47000000E-011	-9.30010000E-012	-2.75940000E-010	-2.35500000E-010	-2.64750000E-010	-2.53750000E-010	9.99900000E+000	7.99980000E+000	5.99900000E+000	3.99890000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	2.83550000E-010	2.37150000E-010	2.64900000E-010	2.63800000E-010
8.20000000E+000	-4.20000000E-012	-6.65000000E-012	-1.05000000E-012	-1.02000000E-011	-2.13400000E-010	-2.13700000E-010	-1.97250000E-010	-2.00500000E-010	9.99900000E+000	7.99980000E+000	5.99900000E+000	3.99890000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	2.14450000E-010	2.24450000E-010	1.99800000E-010	1.87400000E-010
