ATTRIBUTES:

Attribute #1:C:\Metrics\ics\projects\6.2600J_S25\buonato_NOT.ics
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:NOT  04/18/2025  10:40:07
DATE:04/18/2025
TIME:10:40:07

CONDITIONS:

ID:	VDD	
UNIT:	SMU4	
MODE: STEP	
START:	1	
STOP:	4	
PNTS:	4	
STEP:	1

ID:	I0P	
UNIT:	SMU1	
MODE: SWEEP	
START:	-2	
STOP:	4	
PNTS:	61	
STEP:	0.1

ID:	VSS	
UNIT:	SMU2	
START:	0	
STOP:	1	
PNTS:	1	
	STEP:	0

ID:	OUT	
UNIT:	SMU3	
MODE: CONST	
VALUE:	0

DATA:  NOT  04/18/2025  10:40:07

VI0P	II0P	II0P2	II0P3	II0P4	IVSS	IVSS2	IVSS3	IVSS4	VOUT	VOUT2	VOUT3	VOUT4	VVDD	VVDD2	VVDD3	VVDD4	IVDD	IVDD2	IVDD3	IVDD4
-2.00000000E+000	-2.03000000E-011	2.42000000E-011	-2.06500000E-011	-3.42000000E-011	2.40000000E-012	1.37500000E-011	-1.47000000E-011	-1.18500000E-011	9.99970000E-001	1.99990000E+000	3.00000000E+000	3.99990000E+000	1.00000000E+000	2.00000000E+000	3.00000000E+000	4.00000000E+000	-2.15000000E-011	1.93990000E-011	1.48000000E-011	1.41000000E-011
-1.90000000E+000	2.71990000E-011	-1.04500000E-011	-8.49980000E-012	8.20010000E-012	1.11000000E-011	1.05500000E-011	-9.69980000E-012	-9.80010000E-012	9.99970000E-001	1.99990000E+000	3.00000000E+000	3.99990000E+000	1.00000000E+000	2.00000000E+000	3.00000000E+000	4.00000000E+000	-1.85490000E-011	-4.79990000E-012	2.51000000E-011	1.34500000E-011
-1.80000000E+000	1.90500000E-011	1.11000000E-011	-2.78000000E-011	-1.71990000E-011	-1.85000000E-012	1.66000000E-011	-1.63000000E-011	-1.59500000E-011	9.99970000E-001	1.99990000E+000	3.00000000E+000	3.99990000E+000	1.00000000E+000	2.00000000E+000	3.00000000E+000	4.00000000E+000	2.41000000E-011	-1.10500000E-011	2.19000000E-011	2.88500000E-011
-1.70000000E+000	-2.35000000E-012	2.47000000E-011	-2.71990000E-011	-2.71500000E-011	-9.34980000E-012	1.29000000E-011	-6.50000000E-013	-1.30500000E-011	9.98990000E-001	1.99990000E+000	3.00000000E+000	3.99990000E+000	1.00000000E+000	2.00000000E+000	3.00000000E+000	4.00000000E+000	1.41500000E-011	-1.56000000E-011	5.85000000E-012	2.04500000E-011
-1.60000000E+000	-2.54000000E-011	2.49500000E-011	-1.08000000E-011	-2.53500000E-011	-1.26500000E-011	3.15000000E-012	2.95000000E-012	-1.10000000E-012	9.99970000E-001	1.99990000E+000	3.00000000E+000	3.99990000E+000	1.00000000E+000	2.00000000E+000	3.00000000E+000	4.00000000E+000	1.45500000E-011	6.15000000E-012	-1.80000000E-012	9.44970000E-012
-1.50000000E+000	-3.17510000E-011	3.95000000E-012	1.06000000E-011	-2.50000000E-012	-4.84990000E-012	-6.15000000E-012	1.77500000E-011	1.22500000E-011	9.99970000E-001	1.99990000E+000	3.00000000E+000	3.99990000E+000	1.00000000E+000	2.00000000E+000	3.00000000E+000	4.00000000E+000	6.65000000E-012	5.50000000E-012	-9.84990000E-012	-1.99990000E-013
-1.40000000E+000	-1.76990000E-011	-2.29000000E-011	2.97500000E-011	2.90500000E-011	-3.60000000E-012	-1.32000000E-011	1.71990000E-011	1.48500000E-011	9.99970000E-001	1.99990000E+000	3.00000000E+000	3.99990000E+000	1.00000000E+000	2.00000000E+000	3.00000000E+000	4.00000000E+000	-2.20000000E-012	1.02000000E-011	-1.07500000E-011	-1.65500000E-011
-1.30000000E+000	8.99990000E-012	-3.43990000E-011	2.34000000E-011	3.14010000E-011	1.47500000E-011	-1.53500000E-011	-2.10000000E-012	-1.15000000E-012	9.99970000E-001	1.99990000E+000	3.00000000E+000	3.99990000E+000	1.00000000E+000	2.00000000E+000	3.00000000E+000	4.00000000E+000	3.99990000E-012	4.15000000E-012	4.50000000E-013	-5.50000000E-013
-1.20000000E+000	2.77000000E-011	-2.01500000E-011	-1.85000000E-012	1.35500000E-011	1.90500000E-011	-3.69990000E-012	-3.50000000E-012	-3.80010000E-012	9.99970000E-001	1.99990000E+000	3.00000000E+000	3.99990000E+000	1.00000000E+000	2.00000000E+000	3.00000000E+000	4.00000000E+000	-1.75000000E-011	5.34990000E-012	9.94980000E-012	2.05000000E-011
-1.10000000E+000	2.92500000E-011	1.40000000E-012	-2.46000000E-011	-1.06000000E-011	5.60000000E-012	1.22500000E-011	-1.21500000E-011	-1.19500000E-011	9.99970000E-001	1.99990000E+000	3.00000000E+000	3.99990000E+000	1.00000000E+000	2.00000000E+000	3.00000000E+000	4.00000000E+000	-1.62500000E-011	8.30000000E-012	1.46000000E-011	2.48000000E-011
