ATTRIBUTES:

Attribute #1:C:\Metrics\ics\projects\6.2600J_S25\buonato_NOT.ics
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:NOT  04/18/2025  11:20:00
DATE:04/18/2025
TIME:11:20:00

CONDITIONS:

ID:	VDD	
UNIT:	SMU4	
MODE: STEP	
START:	10	
STOP:	4	
PNTS:	4	
STEP:	-2

ID:	I0P	
UNIT:	SMU1	
MODE: SWEEP	
START:	10	
STOP:	3	
PNTS:	36	
STEP:	-0.2

ID:	VSS	
UNIT:	SMU2	
START:	0	
STOP:	1	
PNTS:	1	
	STEP:	0

ID:	OUT	
UNIT:	SMU3	
MODE: CONST	
VALUE:	0

DATA:  NOT  04/18/2025  11:20:00

VI0P	II0P	II0P2	II0P3	II0P4	IVSS	IVSS2	IVSS3	IVSS4	VOUT	VOUT2	VOUT3	VOUT4	VVDD	VVDD2	VVDD3	VVDD4	IVDD	IVDD2	IVDD3	IVDD4
1.00000000E+001	2.61850000E-010	2.00300000E-010	1.67450000E-010	1.56400000E-010	-4.33400000E-005	-3.49690000E-005	-2.65100000E-005	-1.77590000E-005	7.74990000E-001	5.54990000E-001	3.55000000E-001	2.17990000E-001	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	4.32300000E-005	3.48890000E-005	2.64550000E-005	1.77250000E-005
9.80000000E+000	-5.37260000E-010	1.01100000E-010	8.44520000E-011	8.22490000E-011	-4.16240000E-005	-3.34100000E-005	-2.55140000E-005	-1.71800000E-005	1.14300000E+000	8.92970000E-001	5.66990000E-001	3.43000000E-001	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	4.16150000E-005	3.33950000E-005	2.55100000E-005	1.71700000E-005
9.60000000E+000	9.23990000E-011	1.01400000E-010	9.54010000E-011	8.69490000E-011	-3.69140000E-005	-2.99090000E-005	-2.34350000E-005	-1.60640000E-005	2.15000000E+000	1.63200000E+000	1.00700000E+000	5.78980000E-001	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	3.68950000E-005	2.99050000E-005	2.34500000E-005	1.60550000E-005
9.40000000E+000	9.19020000E-011	2.86000000E-011	1.38000000E-011	9.34980000E-012	-2.24100000E-005	-1.93250000E-005	-1.74700000E-005	-1.36100000E-005	5.24900000E+000	3.88790000E+000	2.29900000E+000	1.10100000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	2.24350000E-005	1.93300000E-005	1.74400000E-005	1.35950000E-005
9.20000000E+000	1.09500000E-011	2.81500000E-011	2.71990000E-011	3.45000000E-011	-1.18050000E-005	-9.57680000E-006	-8.89320000E-006	-8.60450000E-006	7.48580000E+000	5.97680000E+000	4.11500000E+000	2.16600000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	1.17950000E-005	9.39100000E-006	8.91740000E-006	8.57660000E-006
9.00000000E+000	2.71990000E-011	-9.50020000E-013	-1.30000000E-012	5.80000000E-012	-5.88390000E-006	-4.47500000E-006	-4.24850000E-006	-4.28390000E-006	8.75290000E+000	7.04490000E+000	5.10080000E+000	3.08500000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	5.90900000E-006	4.44710000E-006	4.22800000E-006	4.29740000E-006
8.80000000E+000	-2.75000000E-012	4.01490000E-011	3.31010000E-011	3.28010000E-011	-2.78900000E-006	-2.02350000E-006	-1.92250000E-006	-1.96700000E-006	9.40380000E+000	7.56790000E+000	5.58890000E+000	3.58190000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	2.81450000E-006	2.01640000E-006	1.92700000E-006	1.96700000E-006
8.60000000E+000	3.87000000E-011	-1.45500000E-011	-2.06000000E-011	-2.32500000E-011	-1.27700000E-006	-9.24770000E-007	-8.87840000E-007	-9.03440000E-007	9.72800000E+000	7.80490000E+000	5.81100000E+000	3.80700000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	1.27600000E-006	9.14320000E-007	8.83240000E-007	8.96630000E-007
8.40000000E+000	-1.71000000E-011	3.90000000E-012	8.90000000E-012	1.00000000E-011	-5.58880000E-007	-3.96790000E-007	-3.93850000E-007	-4.00540000E-007	9.87890000E+000	7.91600000E+000	5.91500000E+000	3.91300000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	5.65830000E-007	3.97650000E-007	3.99040000E-007	3.94200000E-007
8.20000000E+000	8.84980000E-012	2.30500000E-011	2.02500000E-011	2.08000000E-011	-2.47790000E-007	-1.71890000E-007	-1.69050000E-007	-1.66900000E-007	9.94780000E+000	7.96390000E+000	5.96390000E+000	3.96290000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	2.45940000E-007	1.71890000E-007	1.69700000E-007	1.70740000E-007
