ATTRIBUTES:

Attribute #1:C:\Metrics\ics\projects\6.2600J_S25\buonato_NOT.ics
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:NOT  04/18/2025  11:28:57
DATE:04/18/2025
TIME:11:28:57

CONDITIONS:

ID:	VDD	
UNIT:	SMU4	
MODE: STEP	
START:	10	
STOP:	4	
PNTS:	4	
STEP:	-2

ID:	I0P	
UNIT:	SMU1	
MODE: SWEEP	
START:	10	
STOP:	3	
PNTS:	36	
STEP:	-0.2

ID:	VSS	
UNIT:	SMU2	
START:	0	
STOP:	1	
PNTS:	1	
	STEP:	0

ID:	OUT	
UNIT:	SMU3	
MODE: CONST	
VALUE:	0

DATA:  NOT  04/18/2025  11:28:57

VI0P	II0P	II0P2	II0P3	II0P4	IVSS	IVSS2	IVSS3	IVSS4	VOUT	VOUT2	VOUT3	VOUT4	VVDD	VVDD2	VVDD3	VVDD4	IVDD	IVDD2	IVDD3	IVDD4
1.00000000E+001	6.84500000E-011	7.67000000E-011	5.30490000E-011	5.13490000E-011	-1.12200000E-006	-7.42870000E-007	-5.32340000E-007	-3.40890000E-007	9.78810000E+000	7.85890000E+000	5.89890000E+000	3.93490000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	1.04050000E-006	6.86850000E-007	4.90950000E-007	3.13940000E-007
9.80000000E+000	5.82500000E-011	4.28000000E-011	6.64500000E-011	7.19500000E-011	-5.08330000E-007	-3.48650000E-007	-2.62400000E-007	-1.63150000E-007	9.90280000E+000	7.93380000E+000	5.94900000E+000	3.96790000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	5.01340000E-007	3.48140000E-007	2.61700000E-007	1.64300000E-007
9.60000000E+000	4.59000000E-011	4.85000000E-011	3.29990000E-011	3.81510000E-011	-2.67290000E-007	-1.94540000E-007	-1.44450000E-007	-8.54700000E-008	9.94870000E+000	7.96290000E+000	5.97190000E+000	3.98290000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	2.66790000E-007	1.94890000E-007	1.44900000E-007	8.53360000E-008
9.40000000E+000	-6.74990000E-012	-9.69980000E-012	-1.50000000E-012	-9.00000000E-013	-1.47600000E-007	-1.10800000E-007	-8.06070000E-008	-4.78250000E-008	9.97070000E+000	7.98000000E+000	5.98390000E+000	3.99000000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	1.48550000E-007	1.11800000E-007	8.01080000E-008	4.76850000E-008
9.20000000E+000	4.55990000E-011	3.73000000E-011	1.26000000E-011	2.36000000E-011	-8.67440000E-008	-6.44100000E-008	-4.61400000E-008	-2.73550000E-008	9.98390000E+000	7.98780000E+000	5.99000000E+000	3.99390000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	8.50190000E-008	6.40360000E-008	4.61700000E-008	2.70500000E-008
9.00000000E+000	3.48500000E-011	3.70000000E-011	2.68000000E-011	1.20500000E-011	-4.83000000E-008	-3.73150000E-008	-2.74800000E-008	-1.58850000E-008	9.98970000E+000	7.99390000E+000	5.99390000E+000	3.99500000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	4.85140000E-008	3.73060000E-008	2.74950000E-008	1.59400000E-008
8.80000000E+000	-2.24000000E-011	-1.80500000E-011	-1.30500000E-011	-2.01500000E-011	-2.76950000E-008	-2.21400000E-008	-1.65200000E-008	-9.65060000E-009	9.99270000E+000	7.99580000E+000	5.99580000E+000	3.99690000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	2.82600000E-008	2.25600000E-008	1.63850000E-008	9.76380000E-009
8.60000000E+000	2.09500000E-011	1.41000000E-011	3.33000000E-011	-1.39500000E-011	-1.65350000E-008	-1.35550000E-008	-1.01170000E-008	-5.75230000E-009	9.99610000E+000	7.99680000E+000	5.99680000E+000	3.99790000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	1.66000000E-008	1.37700000E-008	1.01500000E-008	5.75100000E-009
8.40000000E+000	2.25000000E-012	1.17500000E-011	-1.05000000E-011	2.76500000E-011	-9.93530000E-009	-8.55830000E-009	-6.13680000E-009	-3.47690000E-009	9.99800000E+000	7.99880000E+000	5.99780000E+000	3.99890000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	9.90480000E-009	8.76290000E-009	6.23430000E-009	3.47390000E-009
8.20000000E+000	-2.24500000E-011	2.33000000E-011	-2.49500000E-011	-2.29000000E-011	-5.78190000E-009	-5.22780000E-009	-3.73640000E-009	-2.14490000E-009	9.99800000E+000	7.99880000E+000	5.99780000E+000	3.99790000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	5.92240000E-009	5.22690000E-009	3.75890000E-009	2.16700000E-009
8.00000000E+000	2.40000000E-012	-2.29500000E-011	2.68490000E-011	2.24000000E-011	-3.46790000E-009	-3.12990000E-009	-2.28750000E-009	-1.29740000E-009	9.99900000E+000	7.99980000E+000	5.99900000E+000	3.99890000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	3.46690000E-009	3.13990000E-009	2.27940000E-009	1.29700000E-009
7.80000000E+000	2.65000000E-011	3.13490000E-011	-8.10020000E-012	2.95000000E-012	-2.06940000E-009	-1.93890000E-009	-1.45600000E-009	-8.69990000E-010	9.99900000E+000	7.99980000E+000	5.99900000E+000	3.99890000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	2.07240000E-009	1.95350000E-009	1.44900000E-009	8.85760000E-010
7.60000000E+000	-2.36000000E-011	-2.59500000E-011	-5.09990000E-012	2.70000000E-012	-1.24750000E-009	-1.23340000E-009	-9.15810000E-010	-5.22050000E-010	9.99900000E+000	7.99980000E+000	5.99900000E+000	3.99890000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	1.25790000E-009	1.23500000E-009	9.40420000E-010	5.37710000E-010
7.40000000E+000	2.95500000E-011	1.61500000E-011	-8.05000000E-012	1.02000000E-011	-8.03710000E-010	-7.90240000E-010	-6.00550000E-010	-3.46000000E-010	9.99900000E+000	7.99980000E+000	5.99900000E+000	3.99890000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	8.36000000E-010	8.07740000E-010	6.14650000E-010	3.46000000E-010
7.20000000E+000	-2.41000000E-011	-2.10990000E-011	-6.99990000E-012	-2.57500000E-011	-5.09660000E-010	-5.16110000E-010	-3.66550000E-010	-2.24400000E-010	9.99900000E+000	7.99980000E+000	5.99900000E+000	3.99890000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	5.11760000E-010	5.25150000E-010	3.63500000E-010	2.28150000E-010
7.00000000E+000	2.20000000E-011	1.65000000E-012	2.59990000E-011	2.58490000E-011	-2.98600000E-010	-3.14700000E-010	-2.32000000E-010	-1.27700000E-010	9.99900000E+000	7.99980000E+000	5.99900000E+000	3.99890000E+000	1.00000000E+001	8.00000000E+000	6.00000000E+000	4.00000000E+000	3.09650000E-010	3.13450000E-010	2.37190000E-010	1.37300000E-010
