ATTRIBUTES:

Attribute #1:C:\Metrics\ics\projects\6.2600J_S25\buonato_NOT.ics
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:NOT  04/18/2025  12:51:09
DATE:04/18/2025
TIME:12:51:09

CONDITIONS:

ID:	VDD	
UNIT:	SMU4	
MODE: STEP	
START:	3	
STOP:	2	
PNTS:	2	
STEP:	-1

ID:	I0P	
UNIT:	SMU1	
MODE: SWEEP	
START:	5	
STOP:	-5	
PNTS:	11	
STEP:	-1

ID:	VSS	
UNIT:	SMU2	
START:	0	
STOP:	1	
PNTS:	1	
	STEP:	0

ID:	OUT	
UNIT:	SMU3	
MODE: CONST	
VALUE:	0

DATA:  NOT  04/18/2025  12:51:09

VI0P	II0P	II0P2	IVSS	IVSS2	VOUT	VOUT2	VVDD	VVDD2	IVDD	IVDD2
5.00000000E+000	-2.20000000E-012	-3.00010000E-012	-1.49800000E-005	-9.98940000E-006	3.00000000E-003	1.99990000E-003	3.00000000E+000	2.00000000E+000	1.49800000E-005	9.98890000E-006
4.00000000E+000	-1.03000000E-011	3.25000000E-012	-1.49800000E-005	-9.98610000E-006	3.99970000E-003	1.99990000E-003	3.00000000E+000	2.00000000E+000	1.49800000E-005	9.98940000E-006
3.00000000E+000	9.99980000E-013	-1.83000000E-011	-1.49750000E-005	-9.98660000E-006	3.99970000E-003	1.99990000E-003	3.00000000E+000	2.00000000E+000	1.49750000E-005	9.98520000E-006
2.00000000E+000	8.55000000E-012	2.44500000E-011	-1.49750000E-005	-9.98190000E-006	3.99970000E-003	3.99970000E-003	3.00000000E+000	2.00000000E+000	1.49750000E-005	9.98470000E-006
1.00000000E+000	-2.05500000E-011	-3.05990000E-011	-1.49700000E-005	-9.98380000E-006	4.99990000E-003	3.00000000E-003	3.00000000E+000	2.00000000E+000	1.49750000E-005	9.98290000E-006
0.00000000E+000	2.36490000E-011	2.08000000E-011	-1.49650000E-005	-9.97680000E-006	6.00000000E-003	3.99970000E-003	3.00000000E+000	2.00000000E+000	1.49650000E-005	9.98010000E-006
-1.00000000E+000	-3.01500000E-011	-2.37500000E-011	-1.49600000E-005	-9.97540000E-006	7.00000000E-003	4.99990000E-003	3.00000000E+000	2.00000000E+000	1.49600000E-005	9.97590000E-006
-2.00000000E+000	2.16000000E-011	-5.30000000E-012	-1.49550000E-005	-9.96840000E-006	8.99980000E-003	6.00000000E-003	3.00000000E+000	2.00000000E+000	1.49500000E-005	9.96980000E-006
-3.00000000E+000	-3.65010000E-011	-2.65000000E-012	-1.49450000E-005	-9.95630000E-006	1.20000000E-002	7.99940000E-003	3.00000000E+000	2.00000000E+000	1.49400000E-005	9.96190000E-006
-4.00000000E+000	1.08000000E-011	-2.12500000E-011	-1.49150000E-005	-9.94700000E-006	1.59990000E-002	1.20000000E-002	3.00000000E+000	2.00000000E+000	1.49200000E-005	9.94700000E-006
-5.00000000E+000	-1.19500000E-011	1.23000000E-011	-1.48750000E-005	-9.91670000E-006	2.40000000E-002	1.59990000E-002	3.00000000E+000	2.00000000E+000	1.48800000E-005	9.91910000E-006

TEST RESULTS:  NOT  04/18/2025  12:51:09


