ATTRIBUTES:

Attribute #1:C:\Metrics\ics\projects\6.2600J_S25\res.ics
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:RES  04/18/2025  10:01:38
DATE:04/18/2025
TIME:10:01:38

CONDITIONS:

ID:	A	
UNIT:	SMU1	
MODE: CONST	
VALUE:	0

ID:	K	
UNIT:	SMU2	
MODE: SWEEP	
START:	-10	
STOP:	10	
PNTS:	51	
STEP:	0.4

DATA:  RES  04/18/2025  10:01:38

IA	VK	IK	
2.67400000E-008	-1.00000000E+000	-2.60150000E-008	
2.43200000E-008	-9.60000000E-001	-2.40350000E-008	
2.24550000E-008	-9.20000000E-001	-2.23950000E-008	
2.02900000E-008	-8.80000000E-001	-2.05100000E-008	
1.85250000E-008	-8.40000000E-001	-1.83750000E-008	
1.70750000E-008	-8.00000000E-001	-1.71300000E-008	
1.54100000E-008	-7.60000000E-001	-1.53500000E-008	
1.40400000E-008	-7.20000000E-001	-1.43050000E-008	
1.27350000E-008	-6.80000000E-001	-1.25750000E-008	
1.12450000E-008	-6.40000000E-001	-1.12250000E-008	
9.84980000E-009	-6.00000000E-001	-1.02450000E-008	
8.90030000E-009	-5.60000000E-001	-8.87120000E-009	
7.58740000E-009	-5.20000000E-001	-7.59880000E-009	
6.72340000E-009	-4.80000000E-001	-6.72890000E-009	
5.72780000E-009	-4.40000000E-001	-5.82530000E-009	
4.87190000E-009	-4.00000000E-001	-4.92190000E-009	
4.04290000E-009	-3.60000000E-001	-4.13500000E-009	
3.34550000E-009	-3.20000000E-001	-3.31650000E-009	
2.66640000E-009	-2.80000000E-001	-2.71890000E-009	
2.11090000E-009	-2.40000000E-001	-2.08090000E-009	
1.47050000E-009	-2.00000000E-001	-1.49250000E-009	
1.02650000E-009	-1.60000000E-001	-1.04100000E-009	
6.85790000E-010	-1.20000000E-001	-6.62260000E-010	
3.16700000E-010	-8.00000000E-002	-3.56250000E-010	
1.69500000E-010	-4.00000000E-002	-1.36800000E-010	
-2.34500000E-011	0.00000000E+000	4.75000000E-012	
-7.34990000E-011	4.00000000E-002	8.93510000E-011	
-1.42000000E-010	8.00000000E-002	1.50750000E-010	
-1.85850000E-010	1.20000000E-001	1.70800000E-010	
-1.86100000E-010	1.60000000E-001	2.17550000E-010	
-2.21800000E-010	2.00000000E-001	1.86350000E-010	
-1.68950000E-010	2.40000000E-001	2.07350000E-010	
-2.33800000E-010	2.80000000E-001	2.00750000E-010	
-1.56600000E-010	3.20000000E-001	1.86450000E-010	
-2.18750000E-010	3.60000000E-001	2.09350000E-010	
-2.32900000E-010	4.00000000E-001	2.25300000E-010	
-2.36160000E-010	4.40000000E-001	2.55450000E-010	
-2.62000000E-010	4.80000000E-001	2.31400000E-010	
-2.16300000E-010	5.20000000E-001	2.66890000E-010	
-2.66850000E-010	5.60000000E-001	2.29050000E-010	
-2.11600000E-010	6.00000000E-001	2.53190000E-010	
-2.86090000E-010	6.40000000E-001	2.61250000E-010	
-2.48310000E-010	6.80000000E-001	2.75650000E-010	
-2.79400000E-010	7.20000000E-001	2.75550000E-010	
-2.80690000E-010	7.60000000E-001	2.74450000E-010	
-2.55060000E-010	8.00000000E-001	2.82350000E-010	
-2.76860000E-010	8.40000000E-001	2.55060000E-010	
-2.52450000E-010	8.80000000E-001	2.86050000E-010	
-2.78940000E-010	9.20000000E-001	2.49440000E-010	
-2.44550000E-010	9.60000000E-001	2.64190000E-010	
-2.71100000E-010	1.00000000E+000	2.64290000E-010	

TEST RESULTS:  RES  04/18/2025  10:01:38


