ATTRIBUTES:

Attribute #1:C:\Metrics\ics\projects\6.2600J_S25\res.ics
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:RES  04/18/2025  10:03:36
DATE:04/18/2025
TIME:10:03:36

CONDITIONS:

ID:	A	
UNIT:	SMU1	
MODE: CONST	
VALUE:	0

ID:	K	
UNIT:	SMU2	
MODE: SWEEP	
START:	-10	
STOP:	10	
PNTS:	51	
STEP:	0.4

DATA:  RES  04/18/2025  10:03:36

IA	VK	IK	
7.55300000E-006	-1.00000000E+001	-6.77840000E-006	
5.64100000E-006	-9.60000000E+000	-5.62710000E-006	
4.71300000E-006	-9.20000000E+000	-4.72040000E-006	
4.01590000E-006	-8.80000000E+000	-3.99960000E-006	
3.34750000E-006	-8.40000000E+000	-3.35150000E-006	
2.81550000E-006	-8.00000000E+000	-2.81950000E-006	
2.36600000E-006	-7.60000000E+000	-2.35000000E-006	
1.89850000E-006	-7.20000000E+000	-1.91050000E-006	
1.55700000E-006	-6.80000000E+000	-1.55450000E-006	
1.29000000E-006	-6.40000000E+000	-1.27600000E-006	
1.04600000E-006	-6.00000000E+000	-1.04550000E-006	
8.43220000E-007	-5.60000000E+000	-8.45320000E-007	
6.64090000E-007	-5.20000000E+000	-6.69100000E-007	
5.27240000E-007	-4.80000000E+000	-5.25880000E-007	
4.08140000E-007	-4.40000000E+000	-4.04090000E-007	
3.08190000E-007	-4.00000000E+000	-3.00700000E-007	
2.25800000E-007	-3.60000000E+000	-2.26600000E-007	
1.62400000E-007	-3.20000000E+000	-1.64650000E-007	
1.12500000E-007	-2.80000000E+000	-1.13850000E-007	
7.84740000E-008	-2.40000000E+000	-8.19160000E-008	
5.09210000E-008	-2.00000000E+000	-5.18100000E-008	
3.05410000E-008	-1.60000000E+000	-3.12190000E-008	
1.62150000E-008	-1.20000000E+000	-1.63300000E-008	
8.12040000E-009	-8.00000000E-001	-8.43960000E-009	
2.85340000E-009	-4.00000000E-001	-2.84550000E-009	
1.16500000E-011	0.00000000E+000	1.26500000E-011	
-1.84500000E-010	4.00000000E-001	2.16800000E-010	
-2.15750000E-010	8.00000000E-001	2.19900000E-010	
-2.38540000E-010	1.20000000E+000	2.22600000E-010	
-2.62100000E-010	1.60000000E+000	2.21050000E-010	
-2.82990000E-010	2.00000000E+000	2.35150000E-010	
-2.72590000E-010	2.40000000E+000	2.73250000E-010	
-2.41800000E-010	2.80000000E+000	2.38050000E-010	
-2.23700000E-010	3.20000000E+000	2.47950000E-010	
-2.31200000E-010	3.60000000E+000	2.77300000E-010	
-2.41300000E-010	4.00000000E+000	2.78300000E-010	
-2.68000000E-010	4.40000000E+000	3.01600000E-010	
-3.03440000E-010	4.80000000E+000	3.37190000E-010	
-3.30100000E-010	5.20000000E+000	3.30300000E-010	
-3.59900000E-010	5.60000000E+000	3.56550000E-010	
-3.67000000E-010	6.00000000E+000	3.75550000E-010	
-3.53750000E-010	6.40000000E+000	3.33300000E-010	
-3.39040000E-010	6.80000000E+000	3.09900000E-010	
-3.74900000E-010	7.20000000E+000	3.44400000E-010	
-3.79900000E-010	7.60000000E+000	3.59750000E-010	
-4.03600000E-010	8.00000000E+000	3.62600000E-010	
-4.08190000E-010	8.40000000E+000	3.76500000E-010	
-4.06900000E-010	8.80000000E+000	3.72590000E-010	
-3.81090000E-010	9.20000000E+000	3.76150000E-010	
-3.83490000E-010	9.60000000E+000	4.06300000E-010	
-3.96250000E-010	1.00000000E+001	4.20200000E-010	

TEST RESULTS:  RES  04/18/2025  10:03:36


