ATTRIBUTES:

Attribute #1:C:\Metrics\ics\projects\6.2600J_S25\res.ics
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:RES  04/18/2025  10:06:07
DATE:04/18/2025
TIME:10:06:07

CONDITIONS:

ID:	A	
UNIT:	SMU1	
MODE: CONST	
VALUE:	0

ID:	K	
UNIT:	SMU2	
MODE: SWEEP	
START:	-10	
STOP:	10	
PNTS:	51	
STEP:	0.4

DATA:  RES  04/18/2025  10:06:07

IA	VK	IK	
4.71040000E-006	-1.00000000E+001	-4.64640000E-006	
4.30040000E-006	-9.60000000E+000	-4.30090000E-006	
3.90810000E-006	-9.20000000E+000	-3.92440000E-006	
3.55890000E-006	-8.80000000E+000	-3.57240000E-006	
3.23190000E-006	-8.40000000E+000	-3.23750000E-006	
2.92750000E-006	-8.00000000E+000	-2.93340000E-006	
2.64300000E-006	-7.60000000E+000	-2.64100000E-006	
2.38090000E-006	-7.20000000E+000	-2.37200000E-006	
2.12900000E-006	-6.80000000E+000	-2.12250000E-006	
1.89550000E-006	-6.40000000E+000	-1.88800000E-006	
1.68650000E-006	-6.00000000E+000	-1.67300000E-006	
1.48300000E-006	-5.60000000E+000	-1.47750000E-006	
1.29550000E-006	-5.20000000E+000	-1.29050000E-006	
1.11550000E-006	-4.80000000E+000	-1.11850000E-006	
9.56060000E-007	-4.40000000E+000	-9.46340000E-007	
8.03530000E-007	-4.00000000E+000	-7.97730000E-007	
6.72500000E-007	-3.60000000E+000	-6.73230000E-007	
5.43250000E-007	-3.20000000E+000	-5.46450000E-007	
4.37590000E-007	-2.80000000E+000	-4.34450000E-007	
3.43690000E-007	-2.40000000E+000	-3.43090000E-007	
2.53250000E-007	-2.00000000E+000	-2.55790000E-007	
1.79100000E-007	-1.60000000E+000	-1.78140000E-007	
1.17250000E-007	-1.20000000E+000	-1.16550000E-007	
6.42900000E-008	-8.00000000E-001	-6.34900000E-008	
2.25650000E-008	-4.00000000E-001	-2.22100000E-008	
3.64490000E-011	0.00000000E+000	-3.04500000E-011	
-1.57390000E-009	4.00000000E-001	1.51600000E-009	
-1.71250000E-009	8.00000000E-001	1.79850000E-009	
-1.87950000E-009	1.20000000E+000	1.82500000E-009	
-1.82390000E-009	1.60000000E+000	1.88990000E-009	
-1.94740000E-009	2.00000000E+000	1.93850000E-009	
-1.90740000E-009	2.40000000E+000	1.92490000E-009	
-1.96450000E-009	2.80000000E+000	2.00540000E-009	
-1.99850000E-009	3.20000000E+000	1.95750000E-009	
-1.97600000E-009	3.60000000E+000	2.06400000E-009	
-2.07400000E-009	4.00000000E+000	2.02100000E-009	
-1.98750000E-009	4.40000000E+000	2.07090000E-009	
-2.11200000E-009	4.80000000E+000	2.09090000E-009	
-2.04400000E-009	5.20000000E+000	2.07240000E-009	
-2.11800000E-009	5.60000000E+000	2.14590000E-009	
-2.10990000E-009	6.00000000E+000	2.08940000E-009	
-2.11490000E-009	6.40000000E+000	2.20140000E-009	
-2.18140000E-009	6.80000000E+000	2.14340000E-009	
-2.11090000E-009	7.20000000E+000	2.20890000E-009	
-2.21700000E-009	7.60000000E+000	2.18950000E-009	
-2.14200000E-009	8.00000000E+000	2.19540000E-009	
-2.23690000E-009	8.40000000E+000	2.26500000E-009	
-2.23640000E-009	8.80000000E+000	2.21640000E-009	
-2.20240000E-009	9.20000000E+000	2.29440000E-009	
-2.31690000E-009	9.60000000E+000	2.29190000E-009	
-2.24350000E-009	1.00000000E+001	2.30250000E-009	

TEST RESULTS:  RES  04/18/2025  10:06:07


